name,genus,name,Deer1,Deer2,DeerSp,Native,Habitat,duration,height,minffd,mintemp,sdabun,sdperiod,sdsprdrate,sdvigor,vegsprdrate,seedwt,ThorMFD,HosmMFD,PrimMFD,WinterTemp,absWinterTemp,TPdeltaFlwr,HPdeltaFlwr,HPdeltaFlwr_2,THdeltaFlwr,syndrome1,syndrome2,syndromeBinary,sexuality,symmetry,nectaries,size,AvgLat,MinLat,tMinLat,MaxLat,tMaxlat,SDLat,tSDLat,tseedwt,tsize,tminffd,theight,habit,HabiatBinary,GF,Decid_Egreen,Needle_Broad,C3C4,N2fixer,logLL,logLMA,logNmass,logNarea,logPmass,logParea,logAmass,logAarea,logGs,logRdmass,logRdarea
Lupinus_perennis,Lupinus,perennis,NA,NA,NA,0,3,3,0.6,216,-47,NA,NA,NA,NA,NA,22.759,153.1666667,139.9411765,154,-0.6,0.6,-0.833333333,-14.05882353,-14.05882353,-13.2254902,7,3,1,0,1,0,1.9,39.65785349,29.8016,1.474239581,46.9462,1.671600445,4.399828459,0.643435745,1.357153176,0.278753601,14.69693846,-0.22184875,3,1,H,NA,B,C3,Y,NA,1.730810546,0.515255934,0.24606648,NA,NA,2.457881897,1.193775138,2.499189703,NA,NA
Myrica_gale,Myrica,gale,NA,NA,NA,0,4,3,6,95,-52,3,1,1,2,2,1.6,116,106.875,150,-0.7,0.7,-34,-43.125,-43.125,-9.125,8,1,0,2,0,0,0.3,46.27465956,NA,NA,NA,NA,NA,NA,0.204119983,-0.522878745,9.746794345,0.77815125,2,NA,S,D,NA,NA,NA,NA,1.990338855,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyrola_chlorantha,Pyrola,chlorantha,no,no,NA,0,1,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,171.25,164.1333333,168,-0.7,0.7,3.25,-3.866666667,-3.866666667,-7.116666667,10,2,1,0,0,0,1.3,43.91467444,31.8908,1.503665414,59.433,1.774027653,4.087217225,0.61142772,NA,0.113943352,NA,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viola_blanda,Viola,blanda,no,yes,no,0,1,3,0.1,127,-52,NA,NA,NA,NA,NA,0.957,124.6666667,118.2352941,119.75,-0.5,0.5,4.916666667,-1.514705882,-1.514705882,-6.431372549,7,3,1,0,1,1,1.3,41.43396545,30.6843,1.48691622,59.433,1.774027653,3.680747715,0.565936051,-0.019088062,0.113943352,11.26942767,-1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viola_labradorica,Viola,labradorica,no,yes,NA,0,1,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,138.4,126,157,-0.5,0.5,-18.6,-31,-31,-12.4,7,3,1,0,1,1,1.9,41.66548141,30.4569,1.483685697,65.883,1.818773367,3.887272877,0.589645028,NA,0.278753601,NA,-0.698970004,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acorus_americanus,Acorus,americanus,NA,NA,NA,0,4,3,5,90,-50,1,2,0,1,1,NA,155,149.9230769,NA,NA,NA,NA,NA,NA,-5.076923077,10,2,1,0,0,0,7.6,41.21723491,37.1943,1.57047639,48.867,1.689015678,2.267246132,0.35549867,NA,0.880813592,9.486832981,0.698970004,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria_plantaginifolia,Antennaria,plantaginifolia,NA,NA,NA,0,3,3,0.4,127,-46,NA,NA,NA,0,0,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,2,0,1,1,38.8225261,30.4569,1.483685697,48.7757,1.688203511,3.298396288,0.518302833,-1.200659451,0,11.26942767,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bidens_cernua,Bidens,cernua,NA,NA,NA,0,4,1,3.2,85,-52,3,2,3,3,0,1.915,NA,239.4285714,241,NA,NA,NA,-1.571428571,-1.571428571,NA,10,2,1,0,0,1,2.5,41.50467744,29.3353,1.467390534,53.033,1.724546195,3.321927285,0.521390122,0.282168778,0.397940009,9.219544457,0.505149978,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clematis_virginiana,Clematis,virginiana,NA,NA,NA,0,1,3,15,85,-52,1,2,1,1,2,1.496,206.75,205.5,231,-0.4,0.4,-24.25,-25.5,-25.5,-1.25,10,2,1,0,0,0,2.5,39.24000411,27.4936,1.43923161,48.7757,1.688203511,4.046297545,0.607057816,0.174931594,0.397940009,9.219544457,1.176091259,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comandra_umbellata,Comandra,umbellata,NA,NA,NA,0,1,3,0.4,127,-46,NA,NA,NA,NA,NA,89.122,147.3333333,138.6,150.5,-0.6,0.6,-3.166666667,-11.9,-11.9,-8.733333333,10,2,1,0,0,1,0.3,41.09655842,31.5239,1.498639941,56.15,1.749349761,3.87320176,0.588070121,1.949984924,-0.522878745,11.26942767,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus_racemosa,Cornus,racemosa,NA,NA,NA,0,3,3,15,100,-46,2,1,1,2,2,34.892,168.6666667,169.0666667,167.5,NA,NA,1.166666667,1.566666667,1.566666667,0.4,10,2,1,0,0,1,5.1,41.11378051,29.8568,1.475043259,48.7757,1.688203511,2.6041276,0.415662261,1.542725864,0.707570176,10,1.176091259,2,NA,S,NA,B,C3,N,0.77815125,1.910094889,0.161368002,0.071462891,NA,NA,1.977723605,0.84509804,2.397940009,NA,NA
Cornus_rugosa,Cornus,rugosa,NA,NA,NA,0,1,3,10,90,-52,2,2,2,2,2,40.755,167,170.8,149,0.1,0.1,18,21.8,21.8,3.8,10,2,1,0,0,1,NA,43.21672233,37.3191,1.571931162,48.7675,1.688130493,2.156842253,0.333818383,1.610180897,NA,9.486832981,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gratiola_aurea,Gratiola,aurea,NA,NA,NA,0,4,3,0.6,127,-52,NA,NA,NA,NA,NA,0.001,179.3333333,185.875,207,-0.2,0.2,-27.66666667,-21.125,-21.125,6.541666667,7,3,1,0,1,1,1.3,42.25923005,30.4569,1.483685697,46.4844,1.66730723,3.184075238,0.502983321,-3,0.113943352,11.26942767,-0.22184875,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houstonia_caerulea,Houstonia,caerulea,NA,NA,NA,0,3,3,0.2,127,-52,NA,NA,NA,NA,NA,NA,116.875,108.5,109.25,-0.8,0.8,7.625,-0.75,-0.75,-8.375,7,3,1,0,0,1,1.3,38.20801116,31.1965,1.494105872,45.8426,1.661269241,3.040182297,0.482899626,NA,0.113943352,11.26942767,-0.698970004,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylotelephium_telephioides,Hylotelephium,telephioides,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,250,NA,NA,NA,NA,NA,NA,10,2,1,0,0,1,0.3,38.08059596,31.9451,1.504404252,43.3201,1.63668945,1.892299636,0.276989906,-1.22184875,-0.522878745,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
