"Ranunculus","ficaria","invasive","exotic","concord"
"Ranunculus","repens","invasive","exotic","concord"
"Rhamnus","cathartica","invasive","exotic","concord"
"Robinia","pseudoacacia","invasive","native","concord"
"Rorippa","amphibia","invasive","exotic","concord"
"Rosa","multiflora","invasive","exotic","concord"
"Rottboellia","cochinchinensis","invasive","exotic","concord"
"Rubus","fruticosus","invasive",NA,"concord"
"Rubus","moluccanus","invasive",NA,"concord"
"Rubus","phoenicolasius","invasive","exotic","concord"
"Saccharum","spontaneum","invasive",NA,"concord"
"Sagittaria","sagittifolia","invasive",NA,"concord"
"Salsola","vermiculata","invasive","exotic","concord"
"Salvinia","auriculata","invasive",NA,"concord"
"Salvinia","biloba","invasive",NA,"concord"
"Salvinia","herzogii","invasive",NA,"concord"
"Salvinia","molesta","invasive","exotic","concord"
"Senecio","jacobaea","invasive","exotic","concord"
"Setaria","pumila","invasive","exotic","concord"
"Setaria","pumila","invasive","exotic","concord"
"Setaria","pallidifusca","invasive",NA,"concord"
"Solanum","tampicense","invasive","exotic","concord"
"Solanum","torvum","invasive","exotic","concord"
"Solanum","viarum","invasive","exotic","concord"
"Sparganium","erectum","invasive","native","concord"
"Spermacoce","alata","invasive",NA,"concord"
"Striga","Lour.","invasive",NA,"concord"
"Trapa","natans","invasive","exotic","concord"
"Tridax","procumbens","invasive","exotic","concord"
"Tussilago","farfara","invasive","exotic","concord"
"Urochloa","panicoides","invasive","exotic","concord"
"Carduus","acanthoides","invasive","exotic","washdc"
"Carduus","nutans","invasive","exotic","washdc"
"Cirsium","arvense","invasive","exotic","washdc"
"Cirsium","vulgare","invasive","exotic","washdc"
"Sorghum","bicolor","invasive","exotic","washdc"
"Sorghum","halepense","invasive","exotic","washdc"
"Acroptilon","repens","invasive","exotic","fargo"
"Artemisia","absinthium","invasive","exotic","fargo"
"Carduus","nutans","invasive","exotic","fargo"
"Centaurea","diffusa","invasive","exotic","fargo"
"Centaurea","solstitialis","invasive","exotic","fargo"
"Centaurea","stoebe","invasive","exotic","fargo"
"Centaurea","maculosa","invasive",NA,"fargo"
"Cirsium","arvense","invasive","exotic","fargo"
"Convolvulus","arvensis","invasive","exotic","fargo"
"Euphorbia","esula","invasive","exotic","fargo"
"Linaria","dalmatica","invasive","exotic","fargo"
"Linaria","genistifolia","invasive",NA,"fargo"
"Lythrum","salicaria","invasive","exotic","fargo"
"Lythrum","virgatum","invasive","exotic","fargo"
"Tamarix","chinensis","invasive","exotic","fargo"
"Tamarix","parviflora","invasive","exotic","fargo"
"Tamarix","ramosissima","invasive","exotic","fargo"
"Lythrum","salicaria","invasive","exotic","washdc"
"Lythrum","virgatum","invasive","exotic","washdc"
