Symbol	Scientific Name	Noxious Common Name	Federal Noxious Status†	Native Status*
PRST3	 Prosopis strombulifera (Lam.) Benth.	Argentine screwbean	NW	L48 (I)
PRTO3	 Prosopis torquata DC.	mesquite	NW	
PRVE	 Prosopis velutina Woot.			"L48 (N), HI (I)"
PRAR4	 Prosopis articulata S. Watson	velvet mesquite	NW	
ROCO6	 Rottboellia cochinchinensis (Lour.) W.D. Clayton	itchgrass	NW	"L48 (I), PR (I)"
RUFR80	 Rubus fruticosus L. [excluded]	wild blackberry complex	NW	
RUMO4	 Rubus moluccanus L. [excluded]	wild blackberry	NW	
SASP	 Saccharum spontaneum L.	wild sugarcane	NW	"HI (I), PR (I)"
SASA7	 Sagittaria sagittifolia L. [excluded]	arrowhead	NW	
SAVE6	 Salsola vermiculata L.	wormleaf salsola	NW	L48 (I)
SAAU	 Salvinia auriculata Aubl.	giant salvinia	NW	PR (I)
SABI9	 Salvinia biloba Raddi	giant salvinia	NW	
SAHE7	 Salvinia herzogii de la Sota	giant salvinia	NW	
SAMO5	 Salvinia molesta Mitchell	giant salvinia	NW	"L48 (I), HI (I)"
SEIN10	 Senecio inaequidens DC.	South African ragwort	NW	
SEPUP3	 Setaria pumila (Poir.) Roem. & Schult. ssp. pallidefusca (Schumach.) B.K. Simon			L48 (I)
SEPA82	" Setaria pallidifusca (Schumach.) Stapf & C.E. Hubbard, orth. var."	cattail grass	NW	
SOTA3	 Solanum tampicense Dunal	wetland nightshade	NW	L48 (I)
SOTO4	 Solanum torvum Sw.	turkeyberry	NW	"L48 (I), HI (I), PR (I), VI (I)"
SOVI2	 Solanum viarum Dunal	tropical soda apple	NW	L48 (I)
SPER	 Sparganium erectum L.	exotic bur-reed	NW	L48 (N)
SPAL3	 Spermacoce alata Aubl. [excluded]	borreria	NW	
STRIG	 Striga NA Lour.	witchweed	"NW, Q"	
TRPR5	 Tridax procumbens L.	coat buttons	NW	"L48 (I), HI (I), PR (I), VI (I)"
URPA	 Urochloa panicoides P. Beauv.	liverseed grass	NW	L48 (I)
 				
