site,genus,species,genus.update,species.update,native/exotic,invasive/noxious,pollination (wind/animal/self),animal_type,lifeform,duration,resources,notes
bertel,Vulpia,bromoides,,,,,wind,,,,USDA Plants,
bertel,Vulpia,microstachys,,,,,wind,,,,USDA Plants,
bertel,Vulpia,octoflora,,,,,wind,,,,USDA Plants,
bertel,Xanthisma,gracile,,,,,animal,,,,BA,
bertel,Xanthisma,spinulosum,,,,,animal,,,,BA,
bertel,Yabea,microcarpa,,,,,wind,,,,,
bertel,Yucca,schottii,,,,,animal,,,,PPE,
bertel,Zapoteca,formosa,,,,,animal,,,,,
bertel,Zephyranthes,longifolia,,,,,animal,,,,FFP,
bertel,Zinnia,acerosa,,,,,animal,,,,BA,
bertel,Ziziphus,obtusifolia,,,,,animal,,,,FFP,
fitter,Acer,platanoides,,,,,wind,,,,,
fitter,Acer,pseudoplatanus,,,,,animal,,,,,
fitter,Achillea,millefolium,,,,,animal,,,,,
fitter,Achillea,ptarmica,,,,,insect,,,,,
fitter,Adoxa,moschatellina,,,,,animal,,,,,
fitter,Aegopodium,podagraria,,,,,wind,,,,,
fitter,Aesculus,hippocastanum,,,,,animal,,,,,
fitter,Aethusa,cynapium,,,,,wind,,,,,
fitter,Agrimonia,eupatoria,,,,,animal,,,,,
fitter,Ajuga,reptans,,,,,insect,,,,,
fitter,Alliaria,petiolata,,,,,animal/wind,,,,,
fitter,Alnus,glutinosa,,,exotic,,wind,,tree,perennial,,
fitter,Alopecurus,geniculatus,,,exotic,,wind,,graminoid,perennial,,
fitter,Alopecurus,myosuroides,,,,,wind,,graminoid,,,
fitter,Alopecurus,pratensis,,,exotic,,wind,,graminoid,perennial,,
fitter,Anacamptis,pyramidalis,,,,,animal,,,,,
fitter,Anagallis,arvensis,,,,,animal,,,,,
fitter,Anisantha,sterilis,,,,,wind,,,,,
fitter,Anthoxanthum,odoratum,,,,,wind,,,,,
fitter,Anthriscus,sylvestris,,,exotic,,wind,,forb/herb,annual/biennial,,
fitter,Antirrhinum,majus,,,,,animal,,,,,
fitter,Arabidopsis,thaliana,,,,,animal/wind,,,,,
fitter,Arctium,lappa,,,,,insect,,,,,
fitter,Arctium,minus,,,,,insect,,,,,
fitter,Armoracia,rusticana,,,,,animal/wind,,,,,
fitter,Arrhenatherum,elatius,,,exotic,,wind,,,,,
fitter,Artemisia,vulgaris,,,,,wind,,,,,
fitter,Asperula,cynanchica,,,,,animal,,,,,
fitter,Aster,novi-belgii,Symphyotrichum,,native,,insect,,forb/herb,perennial,,
fitter,Atriplex,prostrata,,,,,wind,,,,,
fitter,Avena,fatua,,,,,wind,,,,,
fitter,Avena,sativa,,,,,wind,,,,,
fitter,Ballota,nigra,,,,,insect,,,,,
fitter,Barbarea,vulgaris,,,,,animal/wind,,,,,
fitter,Betula,pendula,,,,,wind,,,,,
fitter,Brachypodium,pinnatum,,,,,wind,,,,,
fitter,Brachypodium,sylvaticum,,,,,wind,,,,,
fitter,Brassica,rapa,,,,,insect/wind,,,,,
fitter,Briza,media,,,,,wind,,,,,
fitter,Bromus,erectus,,,,,wind,,,,,
fitter,Bromus,hordeaceus,,,,,wind,,,,,
fitter,Bryonia,dioica,,,,,animal,,,,,
fitter,Buddleja,davidii,,,,,insect,,,,,
fitter,Calluna,vulgaris,,,,,animal,,,,,
fitter,Caltha,palustris,,,,,animal,,,,,
fitter,Calystegia,sepium,,,,,animal,,,,,
fitter,Calystegia,silvatica,,,,,animal,,,,,
fitter,Campanula,glomerata,,,,,animal,,,,,
fitter,Campanula,trachelium,,,,,animal,,,,,
fitter,Cardamine,hirsuta,,,,,animal/wind,,,,,
fitter,Cardamine,hirsuta,,,,,self,,,,,
fitter,Cardamine,pratensis,,,,,animal/wind,,,,,
fitter,Carduus,acanthoides,,,,,animal,,,,,
fitter,Carduus,nutans,,,,,insect,,,,,
fitter,Carex,acutiformis,,,,,wind,,graminoid,perennial,,
fitter,Carex,caryophyllea,,,,,wind,,,,,
fitter,Carex,disticha,,,,,wind,,,,,
fitter,Carex,hirta,,,,,wind,,,,,
fitter,Carex,panicea,,,,,wind,,,,,
fitter,Carex,paniculata,,,,,wind,,,,,
fitter,Carex,sylvatica,,,,,wind,,,,,
fitter,Carlina,vulgaris,,,,,insect,,,,,
fitter,Carpinus,betulus,,,,,wind,,,,,
fitter,Centaurea,nigra,,,,,insect,,,,,
fitter,Centaurea,scabiosa,,,,,insect,,,,,
fitter,Cephalanthera,damasonium,,,,,animal,,,,,
fitter,Cerastium,fontanum,,,,,animal,,,,,
fitter,Cerastium,glomeratum,,,,,animal,,,,,
fitter,Cerastium,tomentosum,,,,,animal,,,,,
fitter,Chaerophyllum,temulentum,,,,,wind,,,,,
fitter,Chamaenerion,angustifolium,,,,,animal/wind,,,,,
fitter,Chelidonium,majus,,,,,animal/wind,,,,,
fitter,Chenopodium,album,,,,,wind,,,,,
fitter,Chrysosplenium,oppositifolium,,,,,animal,,,,,
fitter,Cicerbita,macrophylla,,,,,insect,,,,,
fitter,Cichorium,intybus,,,,,insect,,,,,
fitter,Circaea,lutetiana,,,,,animal/wind,,,,,
fitter,Cirsium,acaule,,,,,insect,,,,,
fitter,Cirsium,arvense,,,,,insect,,,,,
fitter,Cirsium,dissectum,,,,,insect,,,,,
fitter,Cirsium,eriophorum,,,,,insect,,,,,
fitter,Cirsium,vulgare,,,,,insect,,,,,
fitter,Clematis,vitalba,,,,,animal,,,,,
fitter,Clinopodium,vulgare,,,,,insect,,,,,
fitter,Coeloglossum,viride,Dactylorhiza,,,,animal,,,,,
fitter,Conium,maculatum,,,,,wind,,,,,
fitter,Conopodium,majus,,,,,wind,,,,,
fitter,Convolvulus,arvensis,,,,,insect,,,,,
fitter,Conyza,canadensis,,,,,insect,,,,,
fitter,Cornus,sanguinea,,,,,animal,,,,,
fitter,Corylus,avellana,,,,,wind,,,,,
fitter,Crepis,biennis,,,,,insect,,,,,
fitter,Crepis,capillaris,,,,,insect,,,,,
fitter,Crepis,vesicaria,,,,,insect,,,,,
fitter,Cymbalaria,muralis,,,,,animal,,,,,
fitter,Cynosurus,cristatus,,,,,wind,,,,,
fitter,Dactylorhiza,fuchsii,,,,,animal,,,,,
fitter,Dactylorhiza,incarnata,,,,,animal,,,,,
fitter,Dactylorhiza,praetermissa,,,,,animal,,,,,
fitter,Daphne,laureola,,,,,insect,,,,,
fitter,Daphne,mezereum,,,,,insect,,,,,
fitter,Daphne,mezereum,,,,,self,,,,,
fitter,Daucus,carota,,,,,wind,,,,,
fitter,Deschampsia,cespitosa,,,,,wind,,,,,
fitter,Deschampsia,flexuosa,,,,,wind,,,,,
fitter,Digitalis,purpurea,,,,,animal,,,,,
fitter,Dryopteris,dilatata,,,,,,,,,,
fitter,Dryopteris,filix-mas,,,,,,,,,,
fitter,Elymus,caninus,,,,,wind,,,,,
fitter,Elytrigia,repens,,,,,wind,,,,,
fitter,Epilobium,ciliatum,,,,,animal/wind,,,,,
fitter,Epilobium,hirsutum,,,,,animal/wind,,,,,
fitter,Epilobium,montanum,,,,,animal/wind,,,,,
fitter,Epilobium,parviflorum,,,,,animal/wind,,,,,
fitter,Epipactis,helleborine,,,,,animal,,,,,
fitter,Epipactis,purpurata,,,,,animal,,,,,
fitter,Equisetum,arvense,,,,,,,,,,
fitter,Equisetum,palustre,,,,,,,,,,
fitter,Equisetum,telmateia,,,,,,,,,,
fitter,Erigeron,acer,,,,,insect,,,,,
fitter,Erysimum,cheiri,,,,,animal/wind,,,,,
fitter,Euonymus,europaeus,,,,,animal,,,,,
fitter,Eupatorium,cannabinum,,,,,animal,,,,,
fitter,Euphorbia,amygdaloides,,,,,animal,,,,,
fitter,Euphorbia,exigua,,,,,animal,,,,,
fitter,Euphorbia,helioscopia,,,,,animal,,,,,
fitter,Fagus,sylvatica,,,,,wind,,,,,
fitter,Fallopia,convolvulus,,,,,animal/wind,,,,,
fitter,Fallopia,japonica,,,,,animal/wind,,,,,
fitter,Festuca,arundinacea,,,,,wind,,,,,
fitter,Festuca,gigantea,,,,,wind,,,,,
fitter,Festuca,pratensis,,,,,wind,,,,,
fitter,Festuca,rubra,,,,,wind,,,,,
fitter,Filipendula,ulmaria,,,,,animal,,,,,
fitter,Filipendula,vulgaris,,,,,animal,,,,,
fitter,Fumaria,officinalis,,,,,animal/wind,,,,,
fitter,Galanthus,nivalis,,,,,insect,,,,,
fitter,Galega,officinalis,,,,,animal,,,,,
fitter,Galeopsis,tetrahit,,,,,self,,,,,
fitter,Galium,aparine,,,,,animal,,,,,
fitter,Galium,odoratum,,,,,animal,,,,,
fitter,Galium,saxatile,,,,,animal,,,,,
fitter,Galium,uliginosum,,,,,animal,,,,,
fitter,Gentianella,amarella,,,,,animal,,,,,
fitter,Gentianella,germanica,,,,,animal,,,,,
fitter,Geranium,dissectum,,,,,animal,,,,,
fitter,Geranium,phaeum,,,,,animal,,,,,
fitter,Geranium,pyrenaicum,,,,,animal,,,,,
fitter,Geranium,robertianum,,,,,animal,,,,,
fitter,Geranium,rotundifolium,,,,,animal,,,,,
fitter,Geum,urbanum,,,,,animal,,,,,
fitter,Glechoma,hederacea,,,,,insect,,,,,
fitter,Glyceria,fluitans,,,,,wind,,,,,
fitter,Glyceria,maxima,,,,,wind,,,,,
fitter,Gymnadenia,conopsea,,,,,animal,,,,,
fitter,Hedera,helix,,,,,animal,,,,,
fitter,Helianthemum,nummularium,,,,,insect,,,,,
fitter,Helictotrichon,pratense,,,,,wind,,,,,
fitter,Helictotrichon,pubescens,,,,,wind,,,,,
fitter,Helleborus,viridis,,,,,animal,,,,,
fitter,Heracleum,sphondylium,,,,,wind,,,,,
fitter,Hesperis,matronalis,,,,,animal/wind,,,,,
fitter,Hieracium,sabaudum,,,,,,,,,,
fitter,Hordeum,murinum,,,,,wind,,,,,
fitter,Hordeum,secalinum,,,,,wind,,,,,
fitter,Hordeum,vulgare,,,,,wind,,,,,
fitter,Hypericum,hirsutum,,,,,insect,,,,,
fitter,Hypericum,perforatum,,,,,insect,,,,,
fitter,Hypericum,pulchrum,,,,,insect,,,,,
fitter,Hypericum,tetrapterum,,,,,insect,,,,,
fitter,Hypochaeris,radicata,,,,,insect,,,,,
fitter,Ilex,aquifolium,,,,,animal,,,,,
fitter,Impatiens,glandulifera,,,,,animal,,,,,
fitter,Impatiens,parviflora,,,,,animal,,,,,
fitter,Inula,conyzae,,,,,insect,,,,,
fitter,Iris,pseudacorus,,,,,animal,,,,,
fitter,Juncus,effusus,,,,,wind,,,,,
fitter,Juncus,inflexus,,,,,wind,,,,,
fitter,Juncus,subnodulosus,,,,,wind,,,,,
fitter,Knautia,arvensis,,,,,insect,,,,,
fitter,Koeleria,macrantha,,,,,wind,,,,,
fitter,Lactuca,serriola,,,,,self,,,,,
fitter,Lamiastrum,galeobdolon,,,,,insect,,,,,
fitter,Lamium,album,,,,,insect,,,,,
fitter,Lapsana,communis,,,,,insect,,,,,
fitter,Larix,decidua,,,,,,,,,,
fitter,Lathyrus,latifolius,,,,,animal,,,,,
fitter,Lathyrus,pratensis,,,,,animal,,,,,
fitter,Leontodon,autumnalis,,,,,insect,,,,,
fitter,Leontodon,hispidus,,,,,insect,,,,,
fitter,Lepidium,draba,,,,,animal/wind,,,,,
fitter,Leucanthemum,vulgare,,,,,insect,,,,,
fitter,Leucanthemum,vulgare,,,,,self,,,,,
fitter,Ligustrum,vulgare,,,,,insect,,,,,
fitter,Linaria,repens,,,,,animal,,,,,
fitter,Linaria,vulgaris,,,,,animal,,,,,
fitter,Linum,catharticum,,,,,insect,,,,,
fitter,Listera,ovata,,,,,animal,,,,,
fitter,Lonicera,periclymenum,,,,,animal,,,,,
fitter,Lotus,corniculatus,,,,,animal,,,,,
fitter,Lotus,pedunculatus,,,,,animal,,,,,
fitter,Lunaria,annua,,,,,animal/wind,,,,,
fitter,Luzula,campestris,,,,,wind,,,,,
fitter,Luzula,pilosa,,,,,wind,,,,,
fitter,Lychnis,flos-cuculi,,,,,animal,,,,,
fitter,Lycopus,europaeus,,,,,insect,,,,,
fitter,Lythrum,salicaria,,,,,animal,,,,,
fitter,Mahonia,aquifolium,,,,,insect,,,,,
fitter,Malus,domestica,,,,,animal,,,,,
fitter,Malva,moschata,,,,,animal,,,,,
fitter,Malva,sylvestris,,,,,animal,,,,,
fitter,Matricaria,discoidea,,,,,insect,,,,,
fitter,Matricaria,recutita,,,,,insect,,,,,
fitter,Medicago,lupulina,,,,,animal,,,,,
fitter,Melica,uniflora,,,,,wind,,,,,
fitter,Melilotus,officinalis,,,,,animal,,,,,
fitter,Mentha,aquatica,,,,,insect,,,,,
fitter,Mentha,arvensis,,,,,insect,,,,,
fitter,Mercurialis,perennis,,,,,animal,,,,,
fitter,Milium,effusum,,,,,wind,,,,,
fitter,Moehringia,trinervia,,,,,animal,,,,,
fitter,Mycelis,muralis,,,,,insect,,,,,
fitter,Myosotis,arvensis,,,,,animal,,,,,
fitter,Myosotis,scorpioides,,,,,animal,,,,,
fitter,Myosotis,sylvatica,,,,,animal,,,,,
fitter,Myosotis,sylvatica,,,,,animal,,,,,
fitter,Neottia,nidus-avis,,,,,animal,,,,,
fitter,Odontites,verna,,,,,animal,,,,,
fitter,Onobrychis,viciifolia,,,,,animal,,,,,
fitter,Ononis,repens,,,,,animal,,,,,
fitter,Ophrys,apifera,,,,,animal,,,,,
fitter,Origanum,vulgare,,,,,insect,,,,,
fitter,Oxalis,acetosella,,,,,insect,,,,,
fitter,Oxalis,acetosella,,,,,self,,,,,
fitter,Papaver,dubium,,,,,animal/wind,,,,,
fitter,Papaver,rhoeas,,,,,animal/wind,,,,,
fitter,Papaver,somniferum,,,,,animal/wind,,,,,
fitter,Pastinaca,sativa,,,,,wind,,,,,
fitter,Pentaglottis,sempervirens,,,,,animal,,,,,
fitter,Persicaria,lapathifolia,,,,,animal/wind,,,,,
fitter,Persicaria,maculosa,,,,,animal/wind,,,,,
fitter,Petasites,hybridus,,,,,insect,,,,,
fitter,Phleum,bertolonii,,,,,wind,,,,,
fitter,Phleum,pratense,,,,,wind,,,,,
fitter,Phragmites,australis,,,,,wind,,,,,
fitter,Picris,hieracioides,,,,,insect,,,,,
fitter,Pilosella,officinarum,,,,,insect,,,,,
fitter,Plantago,lanceolata,,,,,wind,,,,,
fitter,Plantago,major,,,,,wind,,,,,
fitter,Plantago,media,,,,,wind,,,,,
fitter,Poa,angustifolia,,,,,wind,,,,,
fitter,Poa,nemoralis,,,,,wind,,,,,
fitter,Poa,pratensis,,,,,wind,,,,,
fitter,Poa,trivialis,,,,,wind,,,,,
fitter,Polygala,calcarea,,,,,animal,,,,,
fitter,Polygala,serpyllifolia,,,,,animal,,,,,
fitter,Polygala,vulgaris,,,,,animal,,,,,
fitter,Polygonum,aviculare,,,,,animal/wind,,,,,
fitter,Populus,canescens,,,,,animal/wind,,,,,
fitter,Populus,nigra,,,,,animal/wind,,,,,
fitter,Populus,tremula,,,,,animal/wind,,,,,
fitter,Potentilla,anserina,,,,,animal,,,,,
fitter,Potentilla,erecta,,,,,animal,,,,,
fitter,Potentilla,reptans,,,,,animal,,,,,
fitter,Potentilla,sterilis,,,,,animal,,,,,
fitter,Primula,veris,,,,,animal,,,,,
fitter,Primula,vulgaris,,,,,animal,,,,,
fitter,Prunella,vulgaris,,,,,insect,,,,,
fitter,Prunus,avium,,,,,animal,,,,,
fitter,Prunus,cerasifera,,,,,animal,,,,,
fitter,Prunus,spinosa,,,,,animal,,,,,
fitter,Pseudofumaria,lutea,,,,,animal/wind,,,,,
fitter,Pteridium,aquilinum,,,,,,,,,,
fitter,Pulicaria,dysenterica,,,,,insect,,,,,
fitter,Pyrus,communis,,,,,animal,,,,,
fitter,Ranunculus,acris,,,,,insect,,,,,
fitter,Ranunculus,auricomus,,,,,animal,,,,,
fitter,Ranunculus,bulbosus,,,,,animal,,,,,
fitter,Ranunculus,ficaria,,,,,animal,,,,,
fitter,Ranunculus,repens,,,,,animal,,,,,
fitter,Reseda,lutea,,,,,insect,,,,,
fitter,Reseda,luteola,,,,,insect,,,,,
fitter,Rhamnus,cathartica,,,,,animal,,,,,
fitter,Rhinanthus,minor,,,,,animal,,,,,
fitter,Ribes,nigrum,,,,,animal,,,,,
fitter,Ribes,rubrum,,,,,animal,,,,,
fitter,Ribes,uva-crispa,,,,,animal,,,,,
fitter,Rorippa,amphibia,,,,,animal/wind,,,,,
fitter,Rorippa,nasturtium-aquaticum,,,,,animal/wind,,,,,
fitter,Rosa,arvensis,,,,,animal,,,,,
fitter,Rosa,canina,,,,,animal,,,,,
fitter,Rosa,tomentosa,,,,,animal,,,,,
fitter,Rubus,caesius,,,,,animal,,,,,
fitter,Rubus,fruticosus,,,,,animal,,,,,
fitter,Rubus,idaeus,,,,,animal,,,,,
fitter,Rumex,acetosa,,,,,animal/wind,,,,,
fitter,Rumex,acetosella,,,,,animal/wind,,,,,
fitter,Rumex,conglomeratus,,,,,animal/wind,,,,,
fitter,Rumex,crispus,,,,,animal/wind,,,,,
fitter,Rumex,hydrolapathum,,,,,animal/wind,,,,,
fitter,Rumex,obtusifolius,,,,,animal/wind,,,,,
fitter,Rumex,sanguineus,,,,,animal/wind,,,,,
fitter,Sagina,procumbens,,,,,animal,,,,,
fitter,Salix,caprea,,,,,animal/wind,,,,,
fitter,Salix,fragilis,,,,,animal/wind,,,,,
fitter,Salix,purpurea,,,,,animal/wind,,,,,
fitter,Salix,triandra,,,,,animal/wind,,,,,
fitter,Salix,viminalis,,,,,animal/wind,,,,,
fitter,Sambucus,nigra,,,,,animal,,,,,
fitter,Sanguisorba,minor,,,,,animal,,,,,
fitter,Sanicula,europaea,,,,,wind,,,,,
fitter,Saxifraga,tridactylites,,,,,animal,,,,,
fitter,Scabiosa,columbaria,,,,,insect,,,,,
fitter,Schoenoplectus,lacustris,,,,,wind,,,,,
fitter,Scrophularia,auriculata,,,,,animal,,,,,
fitter,Scrophularia,nodosa,,,,,animal,,,,,
fitter,Scrophularia,vernalis,,,,,animal,,,,,
fitter,Sedum,acre,,,,,animal,,,,,
fitter,Senecio,erucifolius,,,,,insect,,,,,
fitter,Senecio,jacobaea,,,,,insect,,,,,
fitter,Senecio,squalidus,,,,,insect,,,,,
fitter,Silene,dioica,,,,,animal,,,,,
fitter,Silene,latifolia,,,,,animal,,,,,
fitter,Silene,vulgaris,,,,,animal,,,,,
fitter,Sinapis,alba,,,,,animal/wind,,,,,
fitter,Sison,amomum,,,,,wind,,,,,
fitter,Sisymbrium,officinale,,,,,animal/wind,,,,,
fitter,Solanum,dulcamara,,,,,animal,,,,,
fitter,Solidago,canadensis,,,,,insect,,,,,
fitter,Sonchus,arvensis,,,,,insect,,,,,
fitter,Sonchus,asper,,,,,insect,,,,,
fitter,Sonchus,oleraceus,,,,,insect,,,,,
fitter,Sorbus,aria,,,,,animal,,,,,
fitter,Sorbus,aucuparia,,,,,animal,,,,,
fitter,Stachys,officinalis,,,,,insect,,,,,
fitter,Stachys,palustris,,,,,insect,,,,,
fitter,Stachys,sylvatica,,,,,insect,,,,,
fitter,Stellaria,graminea,,,,,animal,,,,,
fitter,Stellaria,holostea,,,,,animal,,,,,
fitter,Symphoricarpos,rivularis,,,,,animal,,,,,
fitter,Symphytum,officinale,,,,,animal,,,,,
fitter,Symphytum,uplandicum,,,,,animal,,,,,
fitter,Tamus,communis,,,,,animial,,,,,
fitter,Tanacetum,parthenium,,,,,insect,,,,,
fitter,Tanacetum,vulgare,,,,,insect,,,,,
fitter,Taxus,baccata,,,,,wind,,,,,
fitter,Thymus,polytrichus,,,,,insect,,,,,
fitter,Tilia,vulgaris,,,,,,,,,,
fitter,Torilis,japonica,,,,,wind,,,,,
fitter,Trachystemon,orientale,,,,,animal,,,,,
fitter,Tragopogon,pratensis,,,,,insect,,,,,
fitter,Trifolium,campestre,,,,,animal,,,,,
fitter,Trifolium,dubium,,,,,animal,,,,,
fitter,Trifolium,medium,,,,,animal,,,,,
fitter,Trifolium,pratense,,,,,animal,,,,,
fitter,Trifolium,repens,,,,,animal,,,,,
fitter,Tripleurospermum,inodorum,,,,,insect,,,,,
fitter,Trisetum,flavescens,,,,,wind,,,,,
fitter,Tussilago,farfara,,,,,insect,,,,,
fitter,Typha,latifolia,,,,,wind,,,,,
fitter,Ulmus,glabra,,,,,animal,,,,,
fitter,Urtica,dioica,,,,,wind,,,,,
fitter,Valerianella,dentata,,,,,animal,,,,,
fitter,Valerianella,locusta,,,,,animal,,,,,
fitter,Verbascum,nigrum,,,,,animal,,,,,
fitter,Verbascum,thapsus,,,,,animal,,,,,
fitter,Veronica,arvensis,,,,,animal,,,,,
fitter,Veronica,beccabunga,,,,,animal,,,,,
fitter,Veronica,chamaedrys,,,,,animal,,,,,
fitter,Veronica,filiformis,,,,,animal,,,,,
fitter,Veronica,hederifolia,,,,,animal,,,,,
fitter,Veronica,montana,,,,,animal,,,,,
fitter,Veronica,officinalis,,,,,animal,,,,,
fitter,Veronica,serpyllifolia,,,,,animal,,,,,
fitter,Viburnum,lantana,,,,,animal,,,,,
fitter,Viburnum,opulus,,,,,animal,,,,,
fitter,Vicia,cracca,,,,,animal,,,,,
fitter,Vicia,sepium,,,,,animal,,,,,
fitter,Vinca,minor,,,,,insect,,,,,
fitter,Viola,arvensis,,,,,animal,,,,,
fitter,Viola,hirta,,,,,animal,,,,,
fitter,Viola,odorata,,,,,animal,,,,,
fitter,Viola,reichenbachiana,,,,,animal,,,,,
fitter,Viola,riviniana,,,,,animal,,,,,
gates,Acer,negundo,,,native,,,,tree,perennial,,
gates,Acer,saccharinum,,,native,,animal/wind,,tree,perennial,,
gates,Aesculus,glabra,,var. glabra,native,,,,tree,perennial,,
gates,Aesculus,glabra,,var. sargentii,native,,,,tree,perennial,,
gates,Aesculus,hippocastanum,,,exotic,,,,tree,perennial,,
gates,Aesculus,pavia,,,native,,,,tree/shrub,perennial,,
gates,Allium,perdulce,,,native,,,,forb/herb,perennial,,
gates,Androsace,occidentalis,,,native,,,,forb/herb,annual,,
gates,Anquilegia,canadensis,,var. latiuscula,,,,,,,,
gates,Antennaria,neglecta,,var. neglecta,native,,animal,,forb/herb,perennial,,
gates,Arisaema,dracontium,,,native,,animal,,forb/herb,perennial,,
gates,Asimina,triloba,,,native,,,,tree/shrub,perennial,,
gates,Astragalus,crassicarpus,,,native,,animal,,forb/herb,perennial,,
gates,Baptisia,australis,,var. minor,native,,animal,,forb/herb,perennial,,
gates,Baptisia,leucophaea,,bracteata,native,,animal,,forb/herb,perennial,,
gates,Berberis,aquifolium,Mahonia,,native,,,,subshrub/shrub,perennial,,
gates,Berberis,thunbergii,,,exotic,,animal,,shrub,perennial,,
gates,Berberis,vulgaris,,,exotic,,insect/wind,,shrub,perennial,,
gates,Callirhoe,involucrata,,,native,,animal,,forb/herb,perennial,,
gates,Capsella,Bursa-pastoris,,,exotic,,insect/wind,,forb/herb,annual,,
gates,Carex,heliophila,,,native,,wind,,graminoid,perennial,,
gates,Catalpa,speciosa,,,native,,animal,,tree,perennial,,
gates,Ceanothus,ovatus,,herbaceus,native,,,,shrub,perennial,,
gates,Celastrus,scandens,,,native,,animal,,vine,perennial,,
gates,Celtis,occidentalis,,,native,,animal,,tree/shrub,perennial,,
gates,Centaurea,cyanus,,,exotic,,animal,,forb/herb,annual,,
gates,Cerastium,vulgatum,,fontanum,exotic,,animal,,forb/herb,biennial/perennial,,
gates,Cercis,canadensis,,,native,,animal,,tree/shrub,perennial,,
gates,Chaenomeles,lagenaria,,speciosa,exotic,,,,shrub,perennial,,
gates,Chionodoxa,lucillae,,,,,,,,,,
gates,Convallaria,majalis,,,exotic,,animal,,forb/herb,perennial,,
gates,Cornus,mas,,,exotic,,,,tree/shrub,perennial,,
gates,Corydalis,micrantha,,,native,,animal/wind,,forb/herb,annual,,
gates,Descurainia,pinnata,,,native,,animal/wind,,forb/herb,annual/biennial/perennial,,
gates,Dicentra,eximia,,,native,,animal/wind,,forb/herb,perennial,,
gates,Draba,reptans,,,native,,animal/wind,,forb/herb,annual,,
gates,Elaeagnus,angustifolia,,,exotic,,,,tree/shrub,perennial,,
gates,Ellisia,nyctelea,,,native,,animal,,forb/herb,annual,,
gates,Eranthis,hyemalis,,,exotic,,animal,,forb/herb,perennial,,
gates,Erythronium,albidum,,,native,,animal,,forb/herb,perennial,,
gates,Exochorda,racemosa,,,exotic,,,,shrub,perennial,,
gates,Forsythia,suspensa,,,exotic,,,,shrub,perennial,,
gates,Fragaria,chlloensis,,,,,,,,,,
gates,Fraxinus,pennsylvanica,,var. subintegerrima,native,,wind,,tree,perennial,,
gates,Galium,aparine,,,native,,animal,,vine/forb/herb,annual,,
gates,Glecoma,hederacea,,,,,,,,,,
gates,Hordeum,pusillum,,,native,,,,graminoid,annual,,
gates,Iris,pumila,,,exotic,,,,forb/herb,perennial,,
gates,Isopyrum,biternatum,,,native,,animal,,forb/herb,perennial,,
gates,Juglans,nigra,,,native,,wind,,tree,perennial,,
gates,Juniperus,virginiana,,,native,,wind,,tree,perennial,,
gates,Kerria,japonica,,,exotic,,,,shrub,perennial,,
gates,Lamium,amplexicaule,,,exotic,,insect,,forb/herb,annual/biennial,,
gates,Lappula,echinata,,,,,,,,,,
gates,Lepidium,densiflorum,,,native,,animal/wind,,forb/herb,annual/biennial,,
gates,Ligustrum,vulgare,,,exotic,,insect,,shrub,perennial,,
gates,Liriodendron,tulipifera,,,native,,animal,,tree,perennial,,
gates,Lithospermum,incisum,,,native,,animal,,forb/herb,perennial,,
gates,Lomatium,foeniculaceum,,,native,,wind,,forb/herb,perennial,,
gates,Lonicera,fragrantissima,,,exotic,,animal,,shrub,perennial,,
gates,Lonicera,tatarica,,,exotic,,animal,,shrub,perennial,,
gates,Malus,ioensis,,,,,,,,,,
gates,Malus,pumila,,,exotic,,animal,,tree,perennial,,
gates,Medicago,lupulina,,,exotic,,animal,,forb/herb,annual/perennial,,
gates,Medicago,sativa,,,exotic,,animal,,forb/herb,annual/perennial,,
gates,Melilotus,officinalis,,,exotic,,animal,,forb/herb,annual/biennial/perennial,,
gates,Mirabilis,nyctaginea,,,native,,animal,,forb/herb,perennial,,
gates,Narcissus,jonquilla,,,exotic,,,,forb/herb,perennial,,
gates,Oenothera,missouriensis,,macrocarpa,native,,animal/wind,,forb/herb,perennial,,
gates,Opuntia,macrorhiza,,,native,,animal,,shrub,perennial,,
gates,Ostrya,virginiana,,,native,,,,tree/shrub,perennial,,
gates,Oxalis,stricta,,,native,,self,,forb/herb,perennial,,
gates,Oxalis,violacea,,,native,,,,forb/herb,perennial,,
gates,Phlox,divaricata,,,native,,animal,,subshrub/forb/herb,perennial,,
gates,Pinus,banksiana,,,native,,,,tree,perennial,,
gates,Pinus,sylvestris,,,exotic,,,,tree,perennial,,
gates,Poa,pratensis,,,native/exotic,,wind,,graminoid,perennial,,
gates,Podophyllym,peltatum,,,native,,,,forb/herb,perennial,,
gates,Populus,sargentii,,deltoides,native,,,,tree,perennial,,
gates,Prunus,angustifolia,,var. watsoni,native,,animal,,tree/shrub,perennial,,
gates,Prunus,armeniaca,,,exotic,,,,tree,perennial,,
gates,Prunus,cerasus,,,exotic,,animal,,tree/shrub,perennial,,
gates,Prunus,persica,,,exotic,,animal,,tree,perennial,,
gates,Prunus,virginiana,,,native,,animal,,tree/shrub,perennial,,
gates,Pyrus,communis,,,exotic,,animal,,tree,perennial,,
gates,Quercus,borealis,,var. maxima,,,,,,,,
gates,Quercus,imbricaria,,,native,,,,tree,perennial,,
gates,Quercus,macrocarpa,,,native,,wind,,tree/shrub,perennial,,
gates,Quercus,palustris,,,native,,wind,,tree,perennial,,
gates,Rhodotypus,scandens,,,exotic,,animal,,shrub,perennial,,
gates,Ribes,missouriense,,,native,,animal,,shrub,perennial,,
