site,genus,species,genus.update,species.update,native/exotic,invasive/noxious,pollination (wind/animal/self),animal_type,lifeform,duration,resources,notes
arnell,Cardamine,amara,,,,,animal/wind,,,,,
arnell,Cardamine,bulbifera,,,,,animal/wind,,forb/herb,perennial,,
arnell,Cardamine,pratensis,,,,,insect/wind,,forb/herb,perennial,,
arnell,Carduus,crispus,,,,,animal,,forb/herb,biennial,,
arnell,Carex,acuta,,nigra,,,wind,,graminoid,perennial,,
arnell,Carex,caryophyllea,,,,,wind,,graminoid,perennial,,
arnell,Carex,digitata,,,,,wind,,,,,
arnell,Carex,disticha,,,,,wind,,graminoid,perennial,,
arnell,Carex,ericetorum,,,,,wind,,,,,
arnell,Carex,loliacea,,,,,wind,,,,,
arnell,Carex,montana,,,,,wind,,,,,
arnell,Carex,muricata,,,,,wind,,graminoid,perennial,,
arnell,Carex,nigra,,,,,wind,,graminoid,perennial,,
arnell,Carex,ovalis,,,,,wind,,graminoid,perennial,,
arnell,Carex,pallescens,,,,,wind,,graminoid,perennial,,
arnell,Carex,panicea,,,,,wind,,graminoid,perennial,,
arnell,Carex,vesicaria,,,,,wind,,graminoid,perennial,,
arnell,Carex,viridula,,,,,wind,,graminoid,perennial,,
arnell,Carlina,vulgaris,,,,,insect,,forb/herb,biennial,,
arnell,Carum,carvi,,,,,wind,,forb/herb,biennial/perennial,,
arnell,Centaurea,cyanus,,,,,animal,,forb/herb,annual,,
arnell,Centaurea,jacea,,,,,animal,,forb/herb,annual,,
arnell,Centaurea,scabiosa,,,,,animal,,forb/herb,perennial,,
arnell,Centaurium,erythraea,,,,,animal,,forb/herb,annual/biennial,,
arnell,Centaurium,pulchellum,,,,,animal,,forb/herb,annual,,
arnell,Cerastium,arvense,,,native/exotic,,animal,,forb/herb,perennial,,
arnell,Cerastium,fontanum,,,,,animal,,forb/herb,biennial/perennial,,
arnell,Cerastium,semidecandrum,,,,,animal,,forb/herb,annual,,
arnell,Chelidonium,majus,,,,,animal/wind,,forb/herb,annual,,
arnell,Chenopodium,album,,,,,wind,,forb/herb,annual,,
arnell,Chenopodium,bonus-henricus,,,,,wind,,forb/herb,annual,,
arnell,Chenopodium,polyspermum,,,exotic,,wind,,forb/herb,annual,,
arnell,Chenopodium,rubrum,,,native,,wind,,forb/herb,annual,,
arnell,Chimaphila,umbellata,,,,,animal,,subshrub,perennial,,
arnell,Chrysosplenium,alternifolium,,,native,,animal,,forb/herb,perennial,,
arnell,Cicuta,virosa,,,,,wind,,forb/herb,perennial,,
arnell,Cirsium,arvense,,,,,insect,,forb/herb,perennial,,
arnell,Cirsium,helenioides,,,,,animal,,forb/herb,perennial,,
arnell,Cirsium,palustre,,,,,animal,,forb/herb,perennial,,
arnell,Cirsium,vulgare,,,,,insect,,forb/herb,biennial,,
arnell,Coeloglossum,viride,Dactylorhiza,,native,,animal,,forb/herb,perennial,,
arnell,Comarum,palustre,,,,,animal,,forb/herb,perennial,,
arnell,Conium,maculatum,,,,,wind,,forb/herb,biennial,,
arnell,Convallaria,majalis,,,,,animal,,forb/herb,perennial,,
arnell,Convolvulus,arvensis,,,,,insect,,vine/forb/herb,perennial,,
arnell,Corallorhiza,trifida,,,native,,animal,,forb/herb,perennial,,
arnell,Cornus,suecica,,,,,animal,,subshrub/shrub,perennial,,
arnell,Corydalis,intermedia,,,,,animal/wind,,,,,
arnell,Corydalis,nobilis,,,,,animal/wind,,,,,
arnell,Corydalis,pumila,,,,,animal/wind,,,,,
arnell,Corydalis,solida,,,,,animal/wind,,forb/herb,perennial,,
arnell,Corylus,avellana,,,,,wind,,tree/shrub,perennial,,
arnell,Cotoneaster,integerrimus,,,,,animal,,,,,
arnell,Crassula,aquatica,,,,,animal,,forb/herb,annual,,
arnell,Crataegus,monogyna,,,,,animal,,tree/shrub,perennial,,
arnell,Crepis,paludosa,,,,,animal,,,,,
arnell,Crepis,praemorsa,,,,,animal,,,,,
arnell,Crepis,tectorum,,,,,animal,,forb/herb,annual,,
arnell,Cuscuta,europaea,,,,,insect,,vine/forb/herb,perennial,,
arnell,Cynoglossum,officinale,,,,,animal,,forb/herb,biennial,,
arnell,Cynosurus,cristatus,,,,,wind,,,,,
arnell,Dactylis,glomerata,,,,,wind,,,,,
arnell,Dactylorhiza,incarnata,,,,,animal,,,,,
arnell,Dactylorhiza,latifolia,,,,,animal,,,,,
arnell,Dactylorhiza,maculata,,,,,animal,,,,,
arnell,Danthonia,decumbens,,,,,wind,,,,,
arnell,Daphne,mezereum,,,,,self,,,,,
arnell,Daphne,mezereum,,,,,insect,,,,,
arnell,Deschampsia,bottnica,,,,,wind,,,,,
arnell,Deschampsia,cespitosa,,,,,wind,,,,,
arnell,Deschampsia,flexuosa,,,,,wind,,,,,
arnell,Descurainia,sophia,,,,,self,,,,,
arnell,Descurainia,sophia,,,,,animal/wind,,,,,
arnell,Dianthus,deltoides,,,,,animal,,,,,
arnell,Draba,muralis,,,,,self,,,,,
arnell,Draba,muralis,,,,,animal/wind,,,,,
arnell,Draba,nemorosa,,,,,animal/wind,,,,,
arnell,Drosera,anglica,,,,,animal,,,,,
arnell,Drosera,intermedia,,,,,animal,,,,,
arnell,Drosera,rotundifolia,,,,,animal,,,,,
arnell,Echium,vulgare,,,,,animal,,,,,
arnell,Eleocharis,acicularis,,,,,wind,,,,,
arnell,Elytrigia,repens,,,,,wind,,,,,
arnell,Empetrum,nigrum,,,,,wind,,,,,
arnell,Epilobium,angustifolium,,,,,animal/wind,,,,,
arnell,Epilobium,montanum,,,,,animal/wind,,,,,
arnell,Epilobium,palustre,,,,,animal/wind,,,,,
arnell,Epilobium,parviflorum,,,,,animal/wind,,,,,
arnell,Epilobium,roseum,,,,,animal/wind,,,,,
arnell,Epipactis,helleborine,,,,,animal,,,,,
arnell,Erigeron,acer,,,,,animal,,,,,
arnell,Eriophorum,angustifolium,,,,,wind,,,,,
arnell,Eriophorum,vaginatum,,,,,wind,,,,,
