phylonum	name	genus	name	ThorPA	HosmerAbun	EatonAbun	PrimackAbun	Hosmer01	HomserData2	HosmerData3	HosmerData4	Waif1	Waif2	DeltaAbun_cont	Deer1	Deer2	DeerSp	PrimPA	Native	IPANEinvstat	IPANEinvstatAll	IPANEinvstat1	IPANEinvstatNat	Habitat	Habitat1_4	Habitat1	Habitat2	Habitat3	Habitat4	duration	height	minffd	mintemp	sdabun	sdperiod	sdsprdrate	sdvigor	vegsprdrate	seedwt	ThorMFD	HosmMFD	PrimMFD	SpringTemp	absSpringTemp	mWinterTemp	comWinterTemp\	WinterTemp	absWinterTemp	TPdeltaFlwr	HPdeltaFlwr	HPdeltaFlwr_2	THdeltaFlwr	syndrome1	syndrome2	syndromeBinary	sexuality	symmetry	nectaries	size	AvgLat	MinLat	tMinLat	MaxLat	tMaxlat	SDLat	tSDLat	tseedwt	tsize	tminffd	theight	habit	HabiatBinary	GF	Decid_Egreen	Needle_Broad	C3C4	N2fixer	logLL	logLMA	logNmass	logNarea	logPmass	logParea	logAmass	logAarea	logGs	logRdmass	logRdarea
439	Cornus_racemosa	Cornus	racemosa	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	15	100	-46	2	1	1	2	2	34.892	168.6666667	169.0666667	167.5	missing	missing	missing	missing	missing	missing	1.166666667	1.566666667	1.566666667	0.4	10	2	1	0	0	1	5.1	41.11378051	29.8568	1.475043259	48.7757	1.688203511	2.6041276	0.415662261	1.542725864	0.707570176	10	1.176091259	2	missing	S	missing	B	C3	N	0.77815125	1.910094889	0.161368002	0.071462891	missing	missing	1.977723605	0.84509804	2.397940009	missing	missing
438	Cornus_rugosa	Cornus	rugosa	1	5	2	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	10	90	-52	2	2	2	2	2	40.755	167	170.8	149	0.1	0.1	0.1	0.1	0.1	0.1	18	21.8	21.8	3.8	10	2	1	0	0	1	missing	43.21672233	37.3191	1.571931162	48.7675	1.688130493	2.156842253	0.333818383	1.610180897	missing	9.486832981	1	2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
584	Gratiola_aurea	Gratiola	aurea	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.6	127	-52	missing	missing	missing	missing	missing	0.001	179.3333333	185.875	207	-0.3	0.3	-0.2	-0.2	-0.2	0.2	-27.66666667	-21.125	-21.125	6.541666667	7	3	1	0	1	1	1.3	42.25923005	30.4569	1.483685697	46.4844	1.66730723	3.184075238	0.502983321	-3	0.113943352	11.26942767	-0.22184875	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
493	Houstonia_caerulea	Houstonia	caerulea	1	6	5	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	0.2	127	-52	missing	missing	missing	missing	missing	missing	116.875	108.5	109.25	-0.5	0.5	-0.8	-0.8	-0.8	0.8	7.625	-0.75	-0.75	-8.375	7	3	1	0	0	1	1.3	38.20801116	31.1965	1.494105872	45.8426	1.661269241	3.040182297	0.482899626	missing	0.113943352	11.26942767	-0.698970004	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
197	Hylotelephium_telephioides	Hylotelephium	telephioides	0	5	0	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	missing	missing	missing	missing	missing	missing	missing	missing	missing	0.06	missing	missing	250	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	10	2	1	0	0	1	0.3	38.08059596	31.9451	1.504404252	43.3201	1.63668945	1.892299636	0.276989906	-1.22184875	-0.522878745	missing	missing	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
261	Hypericum_gentianoides	Hypericum	gentianoides	1	6	5	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	2	2	0	1	0	0	1	2	100	-46	3	2	2	2	0	0.04	203.25	196.5333333	217	0	0	0	0	0	0	-13.75	-20.46666667	-20.46666667	-6.716666667	10	2	1	0	0	0	0.6	36.49948856	26.0829	1.416355876	44.6871	1.650182172	3.860284041	0.586619261	-1.397940009	-0.22184875	10	0.301029996	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
36	Iris_prismatica	Iris	prismatica	1	5	1	1	0	0	0	0	0	0	-4	yes	yes	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.7	127	-46	missing	missing	missing	missing	missing	missing	167	160.9375	176.3333333	0	0	0	0	0	0	-9.333333333	-15.39583333	-15.39583333	-6.0625	7	3	1	0	0	1	10.2	39.93241409	34.0238	1.531782817	44.969	1.65291323	2.431871323	0.385940591	missing	1.008600172	11.26942767	-0.15490196	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
406	Lechea_tenuifolia	Lechea	tenuifolia	1	5	4	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	0.3	225	-43	missing	missing	missing	missing	missing	0.142	205.5	209	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	3.5	10	2	1	0	0	0	missing	36.73409167	26.4937	1.423142614	46.9462	1.671600445	3.458734541	0.538917231	-0.847711656	missing	15	-0.522878745	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
282	Lespedeza_hirta	Lespedeza	hirta	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	6	200	-45	3	3	2	2	0	3.229	214.75	209.6923077	231	missing	missing	missing	missing	missing	missing	-16.25	-21.30769231	-21.30769231	-5.057692308	7	3	1	0	1	1	0.6	37.21023221	27.1906	1.434418791	44.35	1.646893624	3.614589703	0.558059007	0.509068045	-0.22184875	14.14213562	0.77815125	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
24	Lilium_canadense	Lilium	canadense	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	2	1.5	127	-52	missing	missing	missing	missing	missing	missing	188.3333333	188.9375	missing	-0.3	0.3	-0.3	-0.3	-0.3	0.3	missing	missing	missing	0.604166667	3	3	1	0	0	1	7.6	40.1181952	33.7866	1.52874449	47.283	1.674705024	2.585841156	0.412601843	missing	0.880813592	11.26942767	0.176091259	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
