"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult","precintra","precinter"
"concord",NA,"ffd",1852,210,"1852-07-28","Aster","radula",0,NA,NA,NA,1
"concord",NA,"ffd",1852,235,"1852-08-22","Aster","simplex",0,NA,NA,NA,1
"concord",NA,"ffd",1852,221,"1852-08-08","Aster","umbellatus",0,NA,NA,NA,2
"concord",NA,"ffd",1852,187,"1852-07-05","Baptisia","tinctoria",0,NA,NA,NA,1
"concord",NA,"ffd",1852,221,"1852-08-08","Bartonia","virginica",0,NA,NA,366,2
"concord",NA,"ffd",1852,150,"1852-05-29","Berberis","vulgaris",0,NA,NA,NA,1
"concord",NA,"ffd",1852,233,"1852-08-20","Bidens","connata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,234,"1852-08-21","Bidens","frondosa",0,NA,NA,NA,1
"concord",NA,"ffd",1852,241,"1852-08-28","Bidens","laevis",2,NA,NA,NA,4
"concord",NA,"ffd",1852,202,"1852-07-20","Boehmeria","cylindrica",0,NA,NA,NA,1
"concord",NA,"ffd",1852,200,"1852-07-18","Brasenia","schreberi",0,NA,NA,NA,1
"concord",NA,"ffd",1852,176,"1852-06-24","Calopogon","pulchellus",1,NA,NA,NA,1
"concord",NA,"ffd",1852,116,"1852-04-25","Caltha","palustris",0,NA,NA,NA,237
"concord",NA,"ffd",1852,187,"1852-07-05","Campanula","aparinoides",0,NA,NA,NA,1
"concord",NA,"ffd",1852,224,"1852-08-11","Cannabis","sativa",1,NA,NA,NA,3
"concord",NA,"ffd",1852,117,"1852-04-26","Capsella","bursa-pastoris",0,NA,NA,NA,1
"concord",NA,"ffd",1852,137,"1852-05-16","Cardamine","pensylvanica",0,NA,NA,NA,2
"concord",NA,"ffd",1852,185,"1852-07-03","Ceanothus","americanus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,167,"1852-06-15","Celastrus","scandens",0,NA,NA,NA,2
"concord",NA,"ffd",1852,198,"1852-07-16","Cephalanthus","occidentalis",0,NA,NA,NA,3
"concord",NA,"ffd",1852,148,"1852-05-27","Cerastium","vulgatum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,127,"1852-05-06","Chamaedaphne","calyculata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,145,"1852-05-24","Chelidonium","majus",0,NA,NA,NA,3
"concord",NA,"ffd",1852,214,"1852-08-01","Chelone","glabra",0,NA,NA,NA,1
"concord",NA,"ffd",1852,198,"1852-07-16","Chenopodium","album",0,NA,NA,NA,3
"concord",NA,"ffd",1852,195,"1852-07-13","Cichorium","intybus",0,NA,NA,370,2
"concord",NA,"ffd",1852,203,"1852-07-21","Cicuta","bulbifera",0,NA,NA,NA,1
"concord",NA,"ffd",1852,187,"1852-07-05","Cicuta","maculata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,188,"1852-07-06","Circaea","quadrisulcata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,188,"1852-07-06","Cirsium","arvense",0,NA,NA,NA,1
"concord",NA,"ffd",1852,205,"1852-07-23","Cirsium","pumilum",2,NA,NA,NA,1
"concord",NA,"ffd",1852,204,"1852-07-22","Cirsium","vulgare",0,NA,NA,NA,1
"concord",NA,"ffd",1852,216,"1852-08-03","Clematis","virginiana",0,NA,NA,NA,1
"concord",NA,"ffd",1852,212,"1852-07-30","Clethra","alnifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,165,"1852-06-13","Clintonia","borealis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,154,"1852-06-02","Comandra","umbellata",0,NA,NA,NA,3
"concord",NA,"ffd",1852,126,"1852-05-05","Comptonia","peregrina",2,NA,NA,NA,2
"concord",NA,"ffd",1852,171,"1852-06-19","Convolvulus","sepium",0,NA,NA,NA,1
"concord",NA,"ffd",1852,137,"1852-05-16","Coptis","trifolia",2,NA,NA,NA,2
"concord",NA,"ffd",1852,226,"1852-08-13","Corallorhiza","maculata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,165,"1852-06-13","Cornus","alternifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,184,"1852-07-02","Cornus","amomum",1,NA,NA,NA,1
"concord",NA,"ffd",1852,148,"1852-05-27","Cornus","canadensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,171,"1852-06-19","Cornus","racemosa",2,NA,NA,NA,1
"concord",NA,"ffd",1852,175,"1852-06-23","Cornus","rugosa",2,NA,NA,NA,2
"concord",NA,"ffd",1852,253,"1852-09-09","Crotalaria","sagittalis",1,NA,NA,NA,1
"concord",NA,"ffd",1852,221,"1852-08-08","Cuscuta","gronovii",0,NA,NA,NA,2
"concord",NA,"ffd",1852,148,"1852-05-27","Cypripedium","acaule",1,NA,NA,NA,1
"concord",NA,"ffd",1852,185,"1852-07-03","Daucus","carota",0,NA,NA,NA,1
"concord",NA,"ffd",1852,175,"1852-06-23","Diervilla","lonicera",0,NA,NA,NA,2
"concord",NA,"ffd",1852,192,"1852-07-10","Drosera","intermedia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,204,"1852-07-22","Drosera","rotundifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,121,"1852-04-30","Epigaea","repens",0,NA,NA,371,2
"concord",NA,"ffd",1852,172,"1852-06-20","Epilobium","angustifolium",0,NA,NA,NA,1
"concord",NA,"ffd",1852,210,"1852-07-28","Epilobium","coloratum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,232,"1852-08-19","Epilobium","leptophyllum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,188,"1852-07-06","Erechtites","hieracifolia",2,NA,NA,NA,1
"concord",NA,"ffd",1852,213,"1852-07-31","Eupatorium","dubium",0,NA,NA,NA,1
"concord",NA,"ffd",1852,211,"1852-07-29","Eupatorium","perfoliatum",1,NA,NA,NA,1
"concord",NA,"ffd",1852,232,"1852-08-19","Eupatorium","rotundifolium",2,NA,NA,NA,1
"concord",NA,"ffd",1852,128,"1852-05-07","Fragaria","virginiana",0,NA,NA,359,1
"concord",NA,"ffd",1852,164,"1852-06-12","Fumaria","officinalis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,191,"1852-07-09","Galium","asprellum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,204,"1852-07-22","Galium","circaezans",1,NA,NA,NA,1
"concord",NA,"ffd",1852,173,"1852-06-21","Galium","trifidum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,188,"1852-07-06","Galium","triflorum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,211,"1852-07-29","Gaultheria","procumbens",2,NA,NA,NA,1
"concord",NA,"ffd",1852,160,"1852-06-08","Genista","tinctoria",0,NA,NA,NA,2
"concord",NA,"ffd",1852,147,"1852-05-26","Geranium","maculatum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,232,"1852-08-19","Gerardia","paupercula",0,NA,NA,370,1
"concord",NA,"ffd",1852,230,"1852-08-17","Gerardia","pedicularia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,155,"1852-06-03","Glechoma","hederacea",0,NA,NA,375,1
"concord",NA,"ffd",1852,199,"1852-07-17","Gnaphalium","uliginosum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,233,"1852-08-20","Goodyera","pubescens",0,NA,NA,NA,1
"concord",NA,"ffd",1852,221,"1852-08-08","Goodyera","tesselata",1,NA,NA,NA,2
"concord",NA,"ffd",1852,186,"1852-07-04","Gratiola","aurea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,224,"1852-08-11","Habenaria","blephariglottis",1,NA,NA,NA,3
"concord",NA,"ffd",1852,167,"1852-06-15","Habenaria","fimbriata",1,NA,NA,NA,2
"concord",NA,"ffd",1852,173,"1852-06-21","Habenaria","flava",1,NA,NA,NA,1
"concord",NA,"ffd",1852,198,"1852-07-16","Habenaria","lacera",1,NA,NA,NA,3
"concord",NA,"ffd",1852,212,"1852-07-30","Habenaria","psycodes",1,NA,NA,NA,1
"concord",NA,"ffd",1852,205,"1852-07-23","Hackelia","virginiana",2,NA,NA,NA,1
