Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Cirsium,arvense,Annual,18,188.8889,-2.1166,0.038704,0.6442,0.43395,ffd,
Cirsium,vulgare,Annual,21,205.9048,-0.84952,0.011192,0.21505,0.64811,ffd,
Claytonia,caroliniana,Annual,13,112.7692,-5.7746,0.099677,1.2178,0.29334,ffd,
Claytonia,virginica,Annual,19,110.7368,-2.0161,0.016795,0.29039,0.59696,ffd,
Clematis,virginiana,Annual,20,206.8,-0.34052,0.00052241,0.0094084,0.9238,ffd,
Clethra,alnifolia,Annual,22,209.4091,-2.9385,0.11214,2.526,0.12767,ffd,
Clintonia,borealis,Annual,20,148.3,-5.5919,0.21786,5.0138,0.038014,ffd,
Comandra,umbellata,Annual,21,141.2857,-1.2429,0.018744,0.36293,0.554,ffd,
Comptonia,peregrina,Annual,5,121.4,-1.9238,0.53349,3.4307,0.16107,ffd,
Convallaria,majalis,Annual,17,130.9412,-6.9866,0.3903,9.6021,0.0073363,ffd,
Convolvulus,sepium,Annual,21,170.8095,-1.1967,0.026443,0.51607,0.48127,ffd,
Coptis,trifolia,Annual,24,130.25,-6.4288,0.33375,11.0205,0.0031129,ffd,
Corallorhiza,maculata,Annual,17,215.9412,-0.076056,1.8572e-05,0.00027858,0.9869,ffd,
Cornus,alternifolia,Annual,21,155.6667,-3.4131,0.19294,4.5421,0.046349,ffd,
Cornus,amomum,Annual,5,177.6,-2.2051,0.11113,0.37507,0.58355,ffd,
Cornus,canadensis,Annual,23,144,-1.1916,0.020515,0.43983,0.51442,ffd,
Cornus,florida,Annual,22,137.1364,-3.7162,0.21639,5.5229,0.029146,ffd,
Cornus,racemosa,Annual,20,168.85,-0.55768,0.0028021,0.05058,0.82459,ffd,
Cornus,rugosa,Annual,19,169.0526,-1.2836,0.014024,0.24179,0.6292,ffd,
Cornus,stolonifera,Annual,9,159.6667,-4.3537,0.058967,0.43863,0.52898,ffd,
Coronilla,varia,Annual,14,186,-4.7452,0.04576,0.57546,0.46274,ffd,
Corydalis,sempervirens,Annual,16,144.25,-5.0823,0.077539,1.1768,0.29634,ffd,
Crataegus,crus-galli,Annual,15,146.2667,-2.3141,0.054882,0.75489,0.40069,ffd,
Crotalaria,sagittalis,Annual,18,209.4444,-11.5274,0.21407,4.3582,0.053182,ffd,
Cuscuta,gronovii,Annual,21,210.9524,-3.8622,0.078897,1.6274,0.21743,ffd,
Cypripedium,acaule,Annual,25,141.36,-3.335,0.18902,5.3608,0.029865,ffd,
Daucus,carota,Annual,21,186.6667,-8.7201,0.25955,6.6602,0.018323,ffd,
Decodon,verticillatus,Annual,15,225.4667,5.1403,0.09352,1.3412,0.26766,ffd,
Desmodium,canadense,Annual,18,217.7222,-0.41665,0.0011598,0.018578,0.89328,ffd,
Desmodium,marilandicum,Annual,19,222.7368,2.6705,0.045475,0.8099,0.38072,ffd,
Desmodium,nudiflorum,Annual,20,211.2,-3.2469,0.073048,1.4185,0.24912,ffd,
Desmodium,rigidum,Annual,14,230.9286,-1.2552,0.0020837,0.025057,0.87686,ffd,
Desmodium,rotundifolium,Annual,16,219.3125,3.4246,0.059868,0.89152,0.36108,ffd,
Dianthus,armeria,Annual,16,183.25,7.6237,0.026415,0.37984,0.54758,ffd,
Diervilla,lonicera,Annual,22,165.7727,-4.9199,0.11369,2.5654,0.1249,ffd,
Doellingeria,infirma,Annual,15,223.8667,6.7887,0.11072,1.6186,0.22557,ffd,
Draba,verna,Annual,6,114,-12.463,0.61275,6.3291,0.065652,ffd,
Drosera,intermedia,Annual,20,195.6,0.84599,0.0018229,0.032872,0.85815,ffd,
Drosera,rotundifolia,Annual,17,202.9412,-4.9883,0.031824,0.49306,0.49332,ffd,
Echinocystis,lobata,Annual,16,202.375,-29.6648,0.25534,4.8004,0.045868,ffd,
Epigaea,repens,Annual,23,106.5652,0.014424,1.8315e-06,3.8462e-05,0.99511,ffd,
Epilobium,angustifolium,Annual,20,175.65,-0.59834,0.0024376,0.043984,0.83624,ffd,
Epilobium,coloratum,Annual,22,205.4545,5.8735,0.056113,1.189,0.2885,ffd,
Epilobium,leptophyllum,Annual,12,222.1667,0.087538,1.192e-05,0.0001192,0.9915,ffd,
Erechtites,hieracifolia,Annual,18,214,2.8809,0.034373,0.56954,0.46141,ffd,
Erigeron,annuus,Annual,17,180.1176,-27.0773,0.49774,14.8651,0.0015562,ffd,
Erigeron,canadensis,Annual,20,192.7,-2.2414,0.015403,0.28159,0.60215,ffd,
Erigeron,philadelphicus,Annual,17,165.0588,-12.049,0.46671,13.1273,0.0025039,ffd,
Erigeron,pulchellus,Annual,22,142.1818,-3.0506,0.060984,1.2989,0.26788,ffd,
Erythronium,americanum,Annual,10,121.9,2.0368,0.023199,0.19,0.67444,ffd,
Eupatorium,dubium,Annual,21,203,-2.8518,0.070794,1.4476,0.2437,ffd,
Eupatorium,perfoliatum,Annual,21,208.3333,1.8611,0.026367,0.51453,0.48191,ffd,
Euphorbia,cyparissias,Annual,21,135.7143,-17.4354,0.33803,9.7021,0.0057036,ffd,
Euphorbia,maculata,Annual,15,203.9333,-2.4069,0.0050819,0.066402,0.80068,ffd,
Fagopyrum,esculentum,Annual,16,197.125,25.1542,0.14289,2.334,0.14885,ffd,
Fragaria,virginiana,Annual,20,126.9,-5.5283,0.26009,6.3274,0.021603,ffd,
Galeopsis,tetrahit,Annual,16,208.5,-6.4086,0.10103,1.5734,0.23025,ffd,
Galium,aparine,Annual,6,141.5,-1.692,0.20188,1.0118,0.37139,ffd,
Galium,asprellum,Annual,20,184.3,-5.4621,0.047406,0.89577,0.35645,ffd,
Galium,circaezans,Annual,18,176.4444,-0.002367,1.5592e-08,2.4947e-07,0.99961,ffd,
Galium,lanceolatum,Annual,12,179.5,6.7257,0.11674,1.3217,0.27704,ffd,
Galium,trifidum,Annual,19,162.8421,-3.3813,0.039699,0.70278,0.41348,ffd,
Galium,triflorum,Annual,21,166.619,-7.4779,0.10788,2.2976,0.14603,ffd,
Gaultheria,procumbens,Annual,21,199.2857,-4.7418,0.11509,2.471,0.13247,ffd,
Gaylussacia,baccata,Annual,23,138.3478,-7.3344,0.36786,12.2206,0.0021536,ffd,
Genista,tinctoria,Annual,14,171.4286,8.5001,0.16209,2.3214,0.15351,ffd,
Gentiana,andrewsii,Annual,14,246,0.42141,0.0022555,0.027127,0.87192,ffd,
Gentiana,crinita,Annual,14,252.0714,-5.5497,0.17095,2.4744,0.14169,ffd,
Geranium,maculatum,Annual,25,139.2,-1.5364,0.047048,1.1355,0.29766,ffd,
Geranium,robertianum,Annual,16,150.25,-6.1198,0.19472,3.3853,0.087075,ffd,
Gerardia,paupercula,Annual,21,221.4762,1.7161,0.011821,0.22728,0.63898,ffd,
Gerardia,pedicularia,Annual,21,225.3333,-1.4195,0.0079196,0.15167,0.70127,ffd,
Geum,aleppicum,Annual,11,183.2727,-11.1871,0.33392,4.5118,0.062619,ffd,
Geum,canadense,Annual,20,187.85,-8.4554,0.33506,9.07,0.0074932,ffd,
Geum,rivale,Annual,18,142.2778,-6.6663,0.35436,8.7818,0.0091516,ffd,
Glechoma,hederacea,Annual,8,128.125,-10.8535,0.72109,15.5123,0.0076372,ffd,
Gnaphalium,obtusifolium,Annual,17,217.0588,-5.7641,0.13367,2.3144,0.14898,ffd,
Gnaphalium,uliginosum,Annual,20,184.45,-8.8199,0.081728,1.602,0.22175,ffd,
Goodyera,pubescens,Annual,23,212.5652,-8.9854,0.24713,6.8933,0.015806,ffd,
Goodyera,tesselata,Annual,18,208.9444,-7.3059,0.14757,2.7698,0.11551,ffd,
Gratiola,aurea,Annual,22,187.8636,7.0227,0.15876,3.7745,0.066252,ffd,
Habenaria,blephariglottis,Annual,18,208.5556,-4.2364,0.084844,1.4834,0.24091,ffd,
Habenaria,clavellata,Annual,9,199.1111,-18.0792,0.55196,8.6235,0.021819,ffd,
Habenaria,dilatata,Annual,11,153.9091,-1.3674,0.0058875,0.053301,0.82258,ffd,
Habenaria,fimbriata,Annual,19,167.5263,-1.4806,0.03964,0.7017,0.41383,ffd,
Habenaria,flava,Annual,19,173.1053,-4.9961,0.062677,1.1367,0.30125,ffd,
Habenaria,lacera,Annual,21,196.4286,-0.67676,0.004745,0.090585,0.7667,ffd,
Habenaria,orbiculata,Annual,13,176.6154,-14.3678,0.46477,9.5517,0.010275,ffd,
Habenaria,psycodes,Annual,20,201.8,-0.012517,2.6231e-06,4.7216e-05,0.99459,ffd,
Hamamelis,virginiana,Annual,14,261,-6.2952,0.070832,0.91478,0.35772,ffd,
Hedeoma,pulegioides,Annual,19,210.5789,-1.5781,0.018971,0.32874,0.57391,ffd,
Helianthemum,canadense,Annual,19,155.1053,-4.5608,0.047759,0.85263,0.36873,ffd,
Hemerocallis,fulva,Annual,9,186,-19.89,0.35015,3.7717,0.093247,ffd,
Hibiscus,moscheutos,Annual,19,226.3684,-2.0447,0.056261,1.0134,0.32819,ffd,
Hieracium,canadense,Annual,19,216.7895,-9.7616,0.33848,8.6985,0.0089723,ffd,
Hieracium,paniculatum,Annual,20,210.2,3.3198,0.024942,0.46044,0.50605,ffd,
Hieracium,scabrum,Annual,20,215.6,-8.7255,0.22444,5.2091,0.034849,ffd,
Hieracium,venosum,Annual,23,165.5652,-0.22963,0.00040535,0.0085157,0.92735,ffd,
Houstonia,caerulea,Annual,26,110.4615,-4.4746,0.23698,7.454,0.011668,ffd,
Hypericum,canadense,Annual,21,184.4762,-4.2276,0.054391,1.0929,0.30896,ffd,
Hypericum,ellipticum,Annual,22,190.0909,-3.2668,0.026965,0.55424,0.46525,ffd,
Hypericum,gentianoides,Annual,19,198.5789,-3.4685,0.038013,0.67176,0.42378,ffd,
Hypericum,mutilum,Annual,6,201.6667,3.7563,0.083404,0.36397,0.57885,ffd,
Hypericum,perforatum,Annual,22,172.5455,-2.9587,0.1157,2.6168,0.1214,ffd,
Hypericum,punctatum,Annual,22,192.0909,-3.446,0.026424,0.54283,0.46982,ffd,
Hypericum,virginicum,Annual,21,214.4286,-1.8357,0.012448,0.23949,0.63017,ffd,
Hypoxis,hirsuta,Annual,25,147.32,-0.78067,0.01103,0.25652,0.61735,ffd,
Ilex,verticillata,Annual,21,169.8571,-12.2285,0.19155,4.5017,0.047234,ffd,
Impatiens,capensis,Annual,22,185.7727,-10.8199,0.26439,7.1883,0.014359,ffd,
Inula,helenium,Annual,18,205.7222,-8.3571,0.25072,5.3539,0.034298,ffd,
Ipomoea,purpurea,Annual,5,218,16.1779,0.26599,1.0871,0.37374,ffd,
Iris,prismatica,Annual,22,163.8636,2.0331,0.029014,0.59761,0.44853,ffd,
Iris,pseudacorus,Annual,18,161.4444,-2.9907,0.056246,0.95358,0.34334,ffd,
Iris,versicolor,Annual,24,155.2917,-3.5055,0.10909,2.6939,0.11495,ffd,
Kalmia,angustifolia,Annual,24,154.9167,-3.4659,0.086415,2.081,0.16323,ffd,
Kalmia,latifolia,Annual,23,166.6957,-5.645,0.39558,13.744,0.0013053,ffd,
Kalmia,polifolia,Annual,18,132.6111,-5.4595,0.37952,9.7863,0.0064837,ffd,
Krigia,virginica,Annual,23,145.2609,-4.7775,0.15587,3.8776,0.062271,ffd,
Lactuca,biennis,Annual,19,207.1053,-4.0442,0.024901,0.43412,0.5188,ffd,
Lactuca,canadensis,Annual,20,180.25,-4.4574,0.081445,1.596,0.22259,ffd,
Lamium,amplexicaule,Annual,5,125.8,-6.9293,0.53845,3.4998,0.15813,ffd,
Lechea,intermedia,Annual,15,212.4667,2.2772,0.014902,0.19665,0.66473,ffd,
Lechea,tenuifolia,Annual,15,208.5333,4.23,0.021856,0.29048,0.59902,ffd,
Lechea,villosa,Annual,16,207.4375,7.1102,0.10043,1.563,0.23172,ffd,
Ledum,groenlandicum,Annual,17,139.0588,-6.3898,0.37126,8.8574,0.0094193,ffd,
Leontodon,autumnalis,Annual,22,171.6364,9.9748,0.16294,3.8931,0.062467,ffd,
Leonurus,cardiaca,Annual,21,173.2381,-1.8687,0.030464,0.59701,0.44923,ffd,
Lepidium,campestre,Annual,9,136.4444,-8.5732,0.36354,3.9984,0.08567,ffd,
Lepidium,virginicum,Annual,20,152.85,-10.1243,0.32978,8.857,0.0080955,ffd,
Lespedeza,capitata,Annual,18,208,-4.2077,0.075452,1.3058,0.26998,ffd,
Lespedeza,hirta,Annual,17,211.7647,-4.1251,0.047712,0.75153,0.39965,ffd,
Lespedeza,intermedia,Annual,15,216.2,-13.9541,0.22071,3.6818,0.077234,ffd,
Lespedeza,virginica,Annual,16,223.3125,-0.33926,0.00032741,0.0045853,0.94697,ffd,
Leucothoe,racemosa,Annual,8,163,11.5062,0.70621,14.4226,0.0089919,ffd,
Liatris,borealis,Annual,15,231.1333,-0.36271,0.00045151,0.0058723,0.94008,ffd,
Lilium,canadense,Annual,18,188.5,2.2556,0.049402,0.83151,0.37537,ffd,
Lilium,philadelphicum,Annual,19,186.7368,-6.4934,0.32839,8.3125,0.010325,ffd,
Lilium,tigrinum,Annual,9,202.8889,-9.4817,0.068531,0.51501,0.49622,ffd,
Linaria,canadensis,Annual,23,154.9565,-3.1459,0.093593,2.1684,0.1557,ffd,
Linaria,vulgaris,Annual,22,177.1818,-3.2435,0.025286,0.51883,0.47967,ffd,
Lindera,benzoin,Annual,24,113,-5.489,0.34273,11.4717,0.0026524,ffd,
Linnaea,borealis,Annual,18,156.1667,-2.7044,0.1258,2.3025,0.14868,ffd,
Lobelia,cardinalis,Annual,20,205.55,-2.0459,0.027797,0.51465,0.48234,ffd,
Lobelia,inflata,Annual,21,198.5238,-2.6051,0.064084,1.301,0.26821,ffd,
Lobelia,spicata,Annual,18,180.8889,-4.3044,0.084192,1.4709,0.2428,ffd,
Lonicera,sempervirens,Annual,6,162.1667,-5.18,0.042388,0.17706,0.69554,ffd,
Ludwigia,alternifolia,Annual,7,210.2857,9.811,0.15289,0.90241,0.38576,ffd,
Ludwigia,palustris,Annual,17,213.7059,5.8205,0.034407,0.5345,0.47599,ffd,
Lupinus,perennis,Annual,22,143.6364,-9.9569,0.207,5.2206,0.033378,ffd,
Lycopus,americanus,Annual,21,203.3333,0.92747,0.0053744,0.10267,0.75215,ffd,
Lycopus,virginicus,Annual,20,201.7,1.0487,0.0054535,0.098701,0.75701,ffd,
Lyonia,ligustrina,Annual,22,171.8636,-0.74839,0.0095561,0.19297,0.66517,ffd,
Lysimachia,ciliata,Annual,7,198.7143,-5.2601,0.30521,2.1964,0.19843,ffd,
Lysimachia,hybrida,Annual,20,191.85,0.35913,0.001436,0.025886,0.87397,ffd,
Lysimachia,nummularia,Annual,15,174.6,-2.6581,0.075869,1.0673,0.3204,ffd,
Lysimachia,quadrifolia,Annual,23,166,-2.2341,0.052636,1.1668,0.29232,ffd,
Lysimachia,terrestris,Annual,22,176.5909,-5.4829,0.31467,9.1831,0.006608,ffd,
Lysimachia,thyrsiflora,Annual,12,167.6667,0.68147,0.047743,0.50137,0.49507,ffd,
Lythrum,salicaria,Annual,12,192.0833,-8.9505,0.053918,0.5699,0.4677,ffd,
Maianthemum,canadense,Annual,23,137.4348,-4.4183,0.42344,15.4226,0.00077315,ffd,
Malus,malus,Annual,22,130.3182,-6.993,0.55931,25.3835,6.2956e-05,ffd,
Malva,sylvestris,Annual,8,181.125,-1.438,0.002908,0.017499,0.89909,ffd,
Medeola,virginiana,Annual,20,155.8,2.033,0.038335,0.71755,0.40807,ffd,
Megalodonta,beckii,Annual,17,228.7059,-0.27271,0.0001905,0.002858,0.95807,ffd,
Melampyrum,lineare,Annual,20,168.3,-1.8912,0.054071,1.0289,0.32385,ffd,
Melilotus,alba,Annual,17,191.5882,-5.5562,0.074626,1.2097,0.28874,ffd,
Mentha,arvensis,Annual,21,201.3333,-0.36366,0.00072614,0.013807,0.9077,ffd,
Mentha,piperita,Annual,17,217.2353,4.5309,0.054421,0.8633,0.36753,ffd,
Mentha,spicata,Annual,13,217.6154,4.133,0.019879,0.22311,0.64591,ffd,
Menyanthes,trifoliata,Annual,18,139.3333,-4.0543,0.071277,1.228,0.28418,ffd,
Mikania,scandens,Annual,5,217.4,-5.1479,0.20148,0.75693,0.44831,ffd,
Mimulus,ringens,Annual,21,205.619,3.8424,0.090702,1.8952,0.18462,ffd,
Mitchella,repens,Annual,21,167.4762,-4.7557,0.25337,6.4478,0.02001,ffd,
Mollugo,verticillata,Annual,20,155.45,-0.87703,0.00063948,0.011518,0.91572,ffd,
Monarda,didyma,Annual,13,204.7692,-9.6806,0.15146,1.9635,0.18872,ffd,
Monarda,fistulosa,Annual,16,199,-0.71296,0.0020479,0.02873,0.86783,ffd,
Moneses,uniflora,Annual,15,163.7333,-9.0765,0.38793,8.2395,0.013132,ffd,
Monotropa,hypopithys,Annual,21,209.8571,-6.7866,0.22437,5.4963,0.030076,ffd,
Monotropa,uniflora,Annual,24,194.0833,-7.4978,0.14839,3.8334,0.063043,ffd,
Morella,pensylvanica,Annual,17,153.7059,-9.4312,0.10097,1.6846,0.21392,ffd,
Myosotis,arvensis,Annual,12,127.0833,-2.6927,0.07456,0.80567,0.3905,ffd,
Myosotis,laxa,Annual,18,149.4444,-2.7178,0.069005,1.1859,0.29229,ffd,
Myosotis,scorpioides,Annual,16,170.4375,-12.449,0.070397,1.0602,0.32063,ffd,
Myosotis,verna,Annual,19,142.2632,-6.4811,0.22283,4.8743,0.041287,ffd,
Myrica,gale,Annual,21,110.6667,2.9235,0.034959,0.68828,0.41705,ffd,
Nasturtium,officinale,Annual,15,145.0667,-4.4299,0.1584,2.4468,0.14177,ffd,
Nemopanthes,mucronata,Annual,20,135.7,-5.597,0.15022,3.182,0.09132,ffd,
Nepeta,cataria,Annual,19,181.5789,-5.7915,0.17689,3.6533,0.072968,ffd,
Nuphar,microphyllum,Annual,18,174.8333,-21.5245,0.49426,15.6369,0.001136,ffd,
Nuphar,variegata,Annual,8,141,0.22544,0.00036318,0.0021799,0.96428,ffd,
Nymphoides,cordata,Annual,18,176.8889,-2.5003,0.026637,0.43785,0.51758,ffd,
Oenothera,biennis,Annual,20,171.9,5.1467,0.061401,1.1775,0.29218,ffd,
Oenothera,perennis,Annual,6,174,18.9301,0.66289,7.8655,0.048586,ffd,
Ornithogalum,umbellatum,Annual,10,146.7,-10.3337,0.65255,15.025,0.0046999,ffd,
Orobanche,uniflora,Annual,7,151.4286,-2.4759,0.16239,0.96937,0.37005,ffd,
Oxalis,europaea,Annual,24,149.0417,-9.2172,0.41007,15.2929,0.00074985,ffd,
Oxalis,montana,Annual,12,164.1667,-7.7077,0.17938,2.1859,0.17007,ffd,
Oxalis,violacea,Annual,18,145.7222,-7.9006,0.25206,5.3922,0.033745,ffd,
Parthenocissus,quinquefolia,Annual,21,189.9048,-0.13721,6.8451e-05,0.0013007,0.97161,ffd,
Pastinaca,sativa,Annual,20,181.05,-2.011,0.01172,0.21347,0.6496,ffd,
Pedicularis,canadensis,Annual,20,137.1,-1.286,0.013372,0.24396,0.62733,ffd,
Penthorum,sedoides,Annual,19,202.8947,-6.6324,0.20043,4.2615,0.05459,ffd,
Photinia,floribunda,Annual,6,140.8333,-6.9755,0.80021,16.0214,0.016094,ffd,
Photinia,melanocarpa,Annual,6,142.5,-1.7616,0.16657,0.79944,0.4218,ffd,
Phryma,leptostachya,Annual,15,200.5333,-2.9708,0.067403,0.93956,0.35008,ffd,
Phytolacca,americana,Annual,22,188.5909,2.2339,0.019019,0.38775,0.54052,ffd,
Plantago,lanceolata,Annual,22,158.3182,-13.5663,0.27395,7.5463,0.012427,ffd,
Podophyllum,peltatum,Annual,16,143.1875,-1.0376,0.01063,0.15042,0.70397,ffd,
Pogonia,ophioglossoides,Annual,22,169.4091,-1.8174,0.035668,0.73974,0.39994,ffd,
Polygala,pauciflora,Annual,26,135.8846,-1.0908,0.015246,0.37158,0.54787,ffd,
Polygala,sanguinea,Annual,22,192.6818,-0.43083,0.00077736,0.015559,0.90198,ffd,
Polygala,verticillata,Annual,18,213.3333,-6.6164,0.090332,1.5888,0.22557,ffd,
Polygonatum,pubescens,Annual,6,138.5,-2.5521,0.38648,2.5198,0.18762,ffd,
