Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Sagina,procumbens,Annual,11,198.2727,-9.5412,0.07445,0.72395,0.41691,ffd,
Sagittaria,latifolia,Annual,18,197.6667,-3.5303,0.058545,0.99496,0.33338,ffd,
Sambucus,canadensis,Annual,22,167.5909,7.1732,0.088956,1.9528,0.17759,ffd,
Sanguinaria,canadensis,Annual,21,109.2381,-1.749,0.041806,0.82897,0.37398,ffd,
Sanicula,marilandica,Annual,21,154.0952,-3.3129,0.10971,2.3413,0.14247,ffd,
Saponaria,officinalis,Annual,18,196.2778,0.30481,0.00061494,0.0098451,0.92219,ffd,
Sarracenia,purpurea,Annual,21,152.619,-1.7366,0.045083,0.89702,0.35547,ffd,
Saxifraga,virginiensis,Annual,26,108.5385,1.2553,0.015133,0.36876,0.54938,ffd,
Scleranthus,annuus,Annual,19,151.7368,-12.8338,0.20668,4.4288,0.05052,ffd,
Scutellaria,epilobiifolia,Annual,19,201.9474,6.3435,0.090403,1.6896,0.211,ffd,
Scutellaria,lateriflora,Annual,21,201.3333,9.7068,0.36931,11.1255,0.0034758,ffd,
Sedum,acre,Annual,12,175.3333,-9.394,0.072721,0.78424,0.39664,ffd,
Senecio,aureus,Annual,25,141.4,-1.9918,0.042004,1.0085,0.32572,ffd,
Senecio,vulgaris,Annual,13,196,-37.1255,0.49292,10.6928,0.0074654,ffd,
Senna,hebecarpa,Annual,11,208.4545,14.565,0.16509,1.7796,0.21497,ffd,
Sericocarpus,asteroides,Annual,5,189.4,3.3897,0.18858,0.69724,0.46499,ffd,
Sicyos,angulatus,Annual,16,208.1875,-17.3976,0.11218,1.769,0.20477,ffd,
Silene,antirrhina,Annual,16,158.875,-7.7186,0.1632,2.7305,0.12069,ffd,
Silene,armeria,Annual,9,177.2222,23.9295,0.21064,1.8679,0.21399,ffd,
Silene,caroliniana,Annual,25,144.2,-1.9852,0.071496,1.771,0.1963,ffd,
Silene,cucubalus,Annual,16,170.75,-12.2146,0.31579,6.4616,0.02348,ffd,
Silene,noctiflora,Annual,11,179.6364,0.56132,0.00015032,0.001353,0.97146,ffd,
Sisymbrium,officinale,Annual,21,153.5714,-6.9197,0.1065,2.2646,0.1488,ffd,
Sisyrinchium,angustifolium,Annual,18,151,1.1809,0.0074276,0.11973,0.73383,ffd,
Sisyrinchium,atlanticum,Annual,18,151.6667,0.020096,1.4477e-06,2.3163e-05,0.99622,ffd,
Sium,suave,Annual,20,187.4,1.0701,0.0028276,0.051042,0.82381,ffd,
Smilacina,racemosa,Annual,24,152.9583,-1.8473,0.045374,1.0457,0.31762,ffd,
Smilax,herbacea,Annual,21,161.1905,-1.2572,0.022764,0.4426,0.51387,ffd,
Smilax,rotundifolia,Annual,20,158.2,-2.4432,0.039792,0.74594,0.39913,ffd,
Solanum,dulcamara,Annual,22,168.3636,-1.3048,0.0040704,0.081742,0.77789,ffd,
Solidago,bicolor,Annual,21,218.7619,-3.8681,0.070744,1.4465,0.24387,ffd,
Solidago,canadensis,Annual,20,211.8,-5.1198,0.10957,2.2149,0.154,ffd,
Solidago,gigantea,Annual,20,208.65,1.497,0.0084157,0.15277,0.70049,ffd,
Solidago,graminifolia,Annual,22,204.7273,-5.9668,0.14843,3.4859,0.076622,ffd,
Solidago,juncea,Annual,20,203.05,1.0614,0.0072537,0.13152,0.72108,ffd,
Solidago,nemoralis,Annual,19,219.3158,8.7297,0.19308,4.0676,0.05979,ffd,
Solidago,odora,Annual,20,220.45,-2.1575,0.013526,0.2468,0.62535,ffd,
Solidago,rugosa,Annual,21,213.5714,-4.7683,0.041126,0.8149,0.37798,ffd,
Sonchus,asper,Annual,8,208,-18.8572,0.47481,5.4244,0.058719,ffd,
Sonchus,oleraceus,Annual,12,206.6667,-1.1656,0.0010119,0.010129,0.92182,ffd,
Sparganium,eurycarpum,Annual,20,178.25,-0.86423,0.0029592,0.053424,0.81982,ffd,
Spergula,arvensis,Annual,10,165.5,-22.2981,0.76844,26.5487,0.0008716,ffd,
Spergularia,rubra,Annual,17,169.2353,-18.1955,0.41048,10.4442,0.0055883,ffd,
Spiraea,alba,Annual,22,168.2273,-9.0117,0.27983,7.7712,0.011362,ffd,
Spiraea,tomentosa,Annual,24,199.9583,-3.8325,0.1107,2.7385,0.11216,ffd,
Spiranthes,gracilis,Annual,19,208.3684,4.3707,0.029986,0.52553,0.47835,ffd,
Stellaria,graminea,Annual,9,153.7778,-5.0457,0.21536,1.9213,0.20826,ffd,
Stellaria,media,Annual,24,106.125,-6.5645,0.1221,3.0599,0.094188,ffd,
Symplocarpus,foetidus,Annual,24,72.9167,3.2855,0.01696,0.37956,0.54416,ffd,
Tanacetum,vulgare,Annual,22,195.5,0.11904,8.361e-05,0.0016723,0.96779,ffd,
Taraxacum,officinale,Annual,26,110.1154,-4.1728,0.16061,4.5921,0.042467,ffd,
Tephrosia,virginiana,Annual,18,177.3889,-1.3923,0.0062292,0.10029,0.75557,ffd,
Thalictrum,dasycarpum,Annual,12,172.5833,-9.7807,0.21949,2.8122,0.12448,ffd,
Thalictrum,dioicum,Annual,12,133.0833,-9.1424,0.33861,5.1197,0.047154,ffd,
Thalictrum,polygamum,Annual,22,174.5,-2.8064,0.032693,0.67596,0.42068,ffd,
Toxicodendron,vernix,Annual,19,167.5263,-0.90675,0.010379,0.1783,0.67813,ffd,
Tradescantia,virginiana,Annual,12,143.0833,-0.39408,1.6189e-05,0.00016189,0.9901,ffd,
Trichostema,dichotomum,Annual,19,211.5263,-4.8599,0.1375,2.7103,0.11807,ffd,
