"site","genus","species"
"fargo","Catalpa","bignonioides"
"konza","Glandularia","bipinnatifida"
"fargo","Carex","blanda"
"fargo","Rosa","blanda"
"concord","Viola","blanda"
"konza","Verbascum","blattaria"
"concord","Habenaria","blephariglottis"
"fargo","Galium","boreale"
"concord","Clintonia","borealis"
"concord","Liatris","borealis"
"concord","Linnaea","borealis"
"concord","Trientalis","borealis"
"concord","Amphicarpa","bracteata"
"konza","Amphicarpaea","bracteata"
"konza","Baptisia","bracteata"
"fargo","Tradescantia","bracteata"
"konza","Tradescantia","bracteata"
"concord","Viola","brittoniana"
"concord","Cicuta","bulbifera"
"concord","Arethusa","bulbosa"
"concord","Cardamine","bulbosa"
"concord","Ranunculus","bulbosus"
"fitter","Ranunculus","bulbosus"
"concord","Capsella","bursa-pastoris"
"fargo","Capsella","bursa-pastoris"
"concord","Houstonia","caerulea"
"fitter","Rubus","caesius"
"concord","Acorus","calamus"
"fitter","Polygala","calcarea"
"concord","Chamaedaphne","calyculata"
"fitter","Acer","campestre"
"concord","Lepidium","campestre"
"konza","Sisyrinchium","campestre"
"concord","Trifolium","campestre"
"fitter","Trifolium","campestre"
"fitter","Luzula","campestris"
"concord","Allium","canadense"
"konza","Allium","canadense"
"concord","Asarum","canadense"
"concord","Desmodium","canadense"
"concord","Geum","canadense"
"concord","Helianthemum","canadense"
"concord","Hieracium","canadense"
"concord","Hypericum","canadense"
"concord","Lilium","canadense"
"concord","Maianthemum","canadense"
"fargo","Menispermum","canadense"
"concord","Rhododendron","canadense"
"konza","Teucrium","canadense"
"concord","Amelanchier","canadensis"
"fargo","Anemone","canadensis"
"concord","Aquilegia","canadensis"
"fargo","Aquilegia","canadensis"
"fargo","Astragalus","canadensis"
"konza","Cercis","canadensis"
"fitter","Conyza","canadensis"
"concord","Cornus","canadensis"
"fargo","Cryptotaenia","canadensis"
"fargo","Elymus","canadensis"
"konza","Elymus","canadensis"
"concord","Erigeron","canadensis"
"fargo","Erigeron","canadensis"
"konza","Glandularia","canadensis"
"concord","Lactuca","canadensis"
"concord","Linaria","canadensis"
"concord","Pedicularis","canadensis"
"fargo","Pedicularis","canadensis"
"concord","Potentilla","canadensis"
"concord","Sambucus","canadensis"
"konza","Sambucus","canadensis"
"concord","Sanguinaria","canadensis"
"fargo","Sanguinaria","canadensis"
"concord","Solidago","canadensis"
"fargo","Solidago","canadensis"
"fitter","Solidago","canadensis"
"konza","Solidago","canadensis"
"fargo","Viola","canadensis"
"fargo","Dalea","candida"
"konza","Dalea","candida"
"fargo","Cypripedium","candidum"
"fargo","Amorpha","canescens"
"konza","Amorpha","canescens"
"konza","Chrysopsis","canescens"
"konza","Desmodium","canescens"
"fargo","Lithospermum","canescens"
"fitter","Populus","canescens"
"fitter","Rosa","canina"
"fitter","Elymus","caninus"
"concord","Apocynum","cannabinum"
"konza","Apocynum","cannabinum"
"fitter","Eupatorium","cannabinum"
"concord","Impatiens","capensis"
"fitter","Crepis","capillaris"
"concord","Lespedeza","capitata"
"konza","Lespedeza","capitata"
"konza","Croton","capitatus"
"fitter","Salix","caprea"
"concord","Leonurus","cardiaca"
"concord","Lobelia","cardinalis"
"konza","Lobelia","cardinalis"
"concord","Polygonum","careyi"
"concord","Rosa","carolina"
"konza","Solanum","carolinense"
"concord","Claytonia","caroliniana"
"concord","Silene","caroliniana"
"concord","Xyris","caroliniana"
"fargo","Delphinium","carolinianum"
"konza","Delphinium","carolinianum"
"concord","Daucus","carota"
"fitter","Daucus","carota"
"concord","Carum","carvi"
"fitter","Carex","caryophyllea"
"concord","Viburnum","cassinoides"
"concord","Nepeta","cataria"
"fargo","Rhamnus","cathartica"
"fitter","Rhamnus","cathartica"
"fitter","Linum","catharticum"
"fitter","Prunus","cerasifera"
"concord","Prunus","cerasus"
"fargo","Secale","cereale"
"concord","Bidens","cernua"
"konza","Spiranthes","cernua"
"concord","Trillium","cernuum"
"fargo","Trillium","cernuum"
"fitter","Deschampsia","cespitosa"
"konza","Cassia","chamaecrista"
"fitter","Veronica","chamaedrys"
"fitter","Erysimum","cheiri"
"fargo","Tamarix","chinensis"
"concord","Pyrola","chlorantha"
"fargo","Crataegus","chrysocarpa"
"fargo","Eragrostis","cilianensis"
"concord","Lysimachia","ciliata"
"fargo","Lysimachia","ciliata"
"fitter","Epilobium","ciliatum"
"fargo","Juglans","cinerea"
"concord","Galium","circaezans"
"concord","Habenaria","clavellata"
"fargo","Daphne","cneorum"
"konza","Penstemon","cobaea"
"concord","Castilleja","coccinea"
"fargo","Gaura","coccinea"
"fargo","Sphaeralcea","coccinea"
"concord","Polygonum","coccineum"
"fargo","Polygonum","coccineum"
"concord","Epilobium","coloratum"
