"site","genus","species"
"concord","Sonchus","oleraceus"
"fitter","Sonchus","oleraceus"
"konza","Mentzelia","oligosperma"
"concord","Pogonia","ophioglossoides"
"fitter","Chrysosplenium","oppositifolium"
"fargo","Viburnum","opulus"
"fitter","Viburnum","opulus"
"concord","Habenaria","orbiculata"
"concord","Rumex","orbiculatus"
"konza","Symphoricarpos","orbiculatus"
"fargo","Papaver","orientale"
"concord","Polygonum","orientale"
"fitter","Trachystemon","orientale"
"fargo","Conringia","orientalis"
"fargo","Asclepias","ovalifolia"
"fitter","Listera","ovata"
"concord","Vaccinium","oxycoccos"
"concord","Actaea","pachypoda"
"fitter","Equisetum","palustre"
"concord","Calla","palustris"
"concord","Caltha","palustris"
"fargo","Caltha","palustris"
"fitter","Caltha","palustris"
"fargo","Eleocharis","palustris"
"fargo","Lathyrus","palustris"
"concord","Ludwigia","palustris"
"concord","Potentilla","palustris"
"concord","Proserpinaca","palustris"
"fargo","Stachys","palustris"
"fitter","Stachys","palustris"
"fitter","Carex","panicea"
"fitter","Carex","paniculata"
"fargo","Hydrangea","paniculata"
"konza","Desmodium","paniculatum"
"concord","Hieracium","paniculatum"
"fargo","Aster","paniculatus"
"fargo","Viola","papilionacea"
"konza","Dyssodia","papposa"
"fargo","Betula","papyrifera"
"fitter","Tanacetum","parthenium"
"fitter","Impatiens","parviflora"
"fargo","Dracocephalum","parviflorum"
"fitter","Epilobium","parviflorum"
"fargo","Erysimum","parviflorum"
"konza","Scutellaria","parvula"
"konza","Plantago","patagonica"
"concord","Aster","patens"
"fargo","Atriplex","patula"
"concord","Polygala","pauciflora"
"concord","Gerardia","paupercula"
"fargo","Spartina","pectinata"
"konza","Spartina","pectinata"
"concord","Viola","pedata"
"fargo","Viola","pedatifida"
"konza","Viola","pedatifida"
"concord","Gerardia","pedicularia"
"fitter","Lotus","pedunculatus"
"concord","Podophyllum","peltatum"
"fitter","Betula","pendula"
"fargo","Carex","pennsylvanica"
"fargo","Fraxinus","pennsylvanica"
"concord","Cardamine","pensylvanica"
"concord","Morella","pensylvanica"
"concord","Prunus","pensylvanica"
"fargo","Prunus","pensylvanica"
"concord","Acer","pensylvanicum"
"concord","Polygonum","pensylvanicum"
"concord","Comptonia","peregrina"
"concord","Veronica","peregrina"
"fargo","Veronica","peregrina"
"concord","Lupinus","perennis"
"fitter","Mercurialis","perennis"
"concord","Oenothera","perennis"
"concord","Triodanis","perfoliata"
"konza","Triodanus","perfoliata"
"concord","Uvularia","perfoliata"
"concord","Eupatorium","perfoliatum"
"konza","Triosteum","perfoliatum"
"concord","Hypericum","perforatum"
"fitter","Hypericum","perforatum"
"konza","Hypericum","perforatum"
"fitter","Lonicera","periclymenum"
"fargo","Syringa","persica"
"concord","Polygonum","persicaria"
"fargo","Helianthus","petiolaris"
"fitter","Alliaria","petiolata"
"konza","Alliaria","petiolata"
"fitter","Geranium","phaeum"
"concord","Lilium","philadelphicum"
"fargo","Lilium","philadelphicum"
"concord","Erigeron","philadelphicus"
"fargo","Erigeron","philadelphicus"
"konza","Erigeron","philadelphicus"
"fitter","Luzula","pilosa"
"konza","Symphyotrichum","pilosum"
"fargo","Descurainia","pinnata"
"fitter","Brachypodium","pinnatum"
"concord","Mentha","piperita"
"konza","Arnoglossum","plantagineum"
"fitter","Acer","platanoides"
"fargo","Packera","plattensis"
"konza","Packera","plattensis"
"concord","Aegopodium","podagraria"
"fitter","Aegopodium","podagraria"
"concord","Kalmia","polifolia"
"fargo","Opuntia","polyacantha"
"konza","Argemone","polyanthemos"
"concord","Thalictrum","polygamum"
"fitter","Thymus","polytrichus"
"fargo","Carex","praegracilis"
"fitter","Dactylorhiza","praetermissa"
"fitter","Helictotrichon","pratense"
"fitter","Phleum","pratense"
"concord","Trifolium","pratense"
"fargo","Trifolium","pratense"
"fitter","Trifolium","pratense"
"fitter","Alopecurus","pratensis"
"concord","Cardamine","pratensis"
"fitter","Cardamine","pratensis"
"fitter","Festuca","pratensis"
"fitter","Lathyrus","pratensis"
"fargo","Poa","pratensis"
"fitter","Poa","pratensis"
"fitter","Tragopogon","pratensis"
"konza","Viola","pratincola"
"concord","Iris","prismatica"
"concord","Gaultheria","procumbens"
"concord","Sagina","procumbens"
"fitter","Sagina","procumbens"
"fitter","Atriplex","prostrata"
"concord","Iris","pseudacorus"
"fitter","Iris","pseudacorus"
"concord","Robinia","pseudoacacia"
"fargo","Robinia","pseudoacacia"
"konza","Robinia","pseudoacacia"
"fitter","Acer","pseudoplatanus"
"concord","Habenaria","psycodes"
"fitter","Achillea","ptarmica"
"fargo","Sambucus","pubens"
"concord","Goodyera","pubescens"
"fitter","Helictotrichon","pubescens"
"concord","Polygonatum","pubescens"
"concord","Viola","pubescens"
"fargo","Lactuca","pulchella"
"concord","Calopogon","pulchellus"
"concord","Erigeron","pulchellus"
"fitter","Hypericum","pulchrum"
"concord","Hedeoma","pulegioides"
"konza","Physalis","pumila"
"concord","Pilea","pumila"
"concord","Prunus","pumila"
"fargo","Ulmus","pumila"
"konza","Ulmus","pumila"
"konza","Liatris","punctata"
"concord","Hypericum","punctatum"
"concord","Polygonum","punctatum"
"concord","Aster","puniceus"
"fitter","Epipactis","purpurata"
"fargo","Dalea","purpurea"
"konza","Dalea","purpurea"
"fitter","Digitalis","purpurea"
"concord","Ipomoea","purpurea"
"fitter","Salix","purpurea"
"concord","Sarracenia","purpurea"
"concord","Utricularia","purpurea"
"fargo","Liatris","pycnostachya"
"fargo","Caragana","pygmaea"
"fitter","Anacamptis","pyramidalis"
"fitter","Geranium","pyrenaicum"
"concord","Lysimachia","quadrifolia"
"concord","Circaea","quadrisulcata"
"concord","Anemone","quinquefolia"
"fargo","Anemone","quinquefolia"
"concord","Parthenocissus","quinquefolia"
"concord","Aralia","racemosa"
"concord","Cornus","racemosa"
"concord","Leucothoe","racemosa"
"concord","Smilacina","racemosa"
"fargo","Smilacina","racemosa"
"konza","Campsis","radicans"
"concord","Rhus","radicans"
"fitter","Hypochaeris","radicata"
"concord","Aster","radula"
"konza","Viola","rafinesquii"
"fitter","Brassica","rapa"
"concord","Raphanus","raphanistrum"
"concord","Campanula","rapunculoides"
"fargo","Campanula","rapunculoides"
"concord","Viburnum","recognitum"
"concord","Potentilla","recta"
"konza","Potentilla","recta"
"concord","Ranunculus","recurvatus"
"fitter","Matricaria","recutita"
"fargo","Lappula","redowskii"
"fitter","Viola","reichenbachiana"
"fargo","Agropyron","repens"
"fargo","Centaurea","repens"
"fitter","Elytrigia","repens"
"concord","Epigaea","repens"
"fitter","Linaria","repens"
"concord","Mitchella","repens"
"fitter","Ononis","repens"
"concord","Ranunculus","repens"
"fargo","Ranunculus","repens"
"fitter","Ranunculus","repens"
"concord","Trifolium","repens"
"fargo","Trifolium","repens"
"fitter","Trifolium","repens"
"fitter","Ajuga","reptans"
"fargo","Polemonium","reptans"
"fitter","Potentilla","reptans"
"concord","Ranunculus","reptans"
"concord","Amaranthus","retroflexus"
"fargo","Amaranthus","retroflexus"
"fargo","Hippophae","rhamnoides"
"fitter","Papaver","rhoeas"
"fargo","Ranunculus","rhomboideus"
"fargo","Heuchera","richardsonii"
"fargo","Solidago","rigida"
"konza","Solidago","rigida"
"concord","Desmodium","rigidum"
"konza","Helianthus","rigidus"
"concord","Mimulus","ringens"
"fargo","Vitis","riparia"
"concord","Geum","rivale"
"fitter","Viola","riviniana"
"fitter","Symphoricarpos","rivularis"
"concord","Geranium","robertianum"
"fitter","Geranium","robertianum"
"konza","Solanum","rostratum"
"concord","Campanula","rotundifolia"
"fargo","Campanula","rotundifolia"
"concord","Drosera","rotundifolia"
"fargo","Malva","rotundifolia"
"concord","Pyrola","rotundifolia"
"concord","Smilax","rotundifolia"
"concord","Desmodium","rotundifolium"
"fitter","Geranium","rotundifolium"
"concord","Actaea","rubra"
"fargo","Actaea","rubra"
"fitter","Festuca","rubra"
"concord","Spergularia","rubra"
"konza","Ulmus","rubra"
"concord","Ribes","rubrum"
"fargo","Ribes","rubrum"
"fitter","Ribes","rubrum"
"concord","Cornus","rugosa"
"concord","Solidago","rugosa"
"konza","Eupatorium","rugosum"
"concord","Armoracia","rusticana"
"fargo","Armoracia","rusticana"
"fitter","Armoracia","rusticana"
"fargo","Rhus","rydbergii"
"fitter","Hieracium","sabaudum"
"fargo","Acer","saccharinum"
"fargo","Acer","saccharum"
"concord","Crotalaria","sagittalis"
"concord","Viola","sagittata"
"concord","Polygonum","sagittatum"
"concord","Lythrum","salicaria"
"fargo","Lythrum","salicaria"
"fitter","Lythrum","salicaria"
"fitter","Cornus","sanguinea"
"concord","Polygala","sanguinea"
"fitter","Rumex","sanguineus"
"fitter","Avena","sativa"
"concord","Cannabis","sativa"
"fargo","Medicago","sativa"
"concord","Pastinaca","sativa"
"fitter","Pastinaca","sativa"
"fitter","Galium","saxatile"
"fitter","Centaurea","scabiosa"
"konza","Hymenopappus","scabiosaeus"
"concord","Hieracium","scabrum"
"concord","Celastrus","scandens"
"concord","Mikania","scandens"
"fargo","Lactuca","scariola"
"fargo","Ranunculus","sceleratus"
"fargo","Allium","schoenoprasum"
"concord","Brasenia","schreberi"
"fargo","Kochia","scoparia"
"konza","Andropogon","scoparius"
"fargo","Juniperus","scopulorum"
"fargo","Pinus","scopulorum"
"concord","Myosotis","scorpioides"
"fitter","Myosotis","scorpioides"
"concord","Veronica","scutellata"
"fitter","Hordeum","secalinum"
"fitter","Taraxacum","sect. Erythrosperma"
"concord","Penthorum","sedoides"
"concord","Corydalis","sempervirens"
"concord","Lonicera","sempervirens"
"fitter","Pentaglottis","sempervirens"
"fargo","Calystegia","sepium"
"fitter","Calystegia","sepium"
"concord","Convolvulus","sepium"
"fitter","Vicia","sepium"
"konza","Symphyotrichum","sericeum"
"concord","Prunus","serotina"
"concord","Prenanthes","serpentaria"
"concord","Arenaria","serpyllifolia"
"fargo","Euphorbia","serpyllifolia"
"fitter","Polygala","serpyllifolia"
"concord","Veronica","serpyllifolia"
"fitter","Veronica","serpyllifolia"
"fitter","Lactuca","serriola"
"fargo","Oenothera","serrulata"
"konza","Calylophus","serrulatus"
"fargo","Castilleja","sessiliflora"
"concord","Uvularia","sessilifolia"
"fargo","Uvularia","sessilifolia"
"konza","Desmodium","sessilifolium"
"fargo","Othocallis","siberica"
"fitter","Calystegia","silvatica"
"concord","Aster","simplex"
"concord","Potentilla","simplex"
"konza","Verbena","simplex"
"concord","Xanthorhiza","simplicissima"
"fargo","Prinsepia","sinensis"
"konza","Lobelia","siphilitica"
"fitter","Papaver","somniferum"
"fargo","Descurainia","sophia"
"fargo","Catalpa","speciosa"
"konza","Oenothera","speciosa"
"konza","Solidago","speciosa"
"fitter","Heracleum","sphondylium"
"concord","Lobelia","spicata"
"concord","Mentha","spicata"
"fitter","Prunus","spinosa"
"fitter","Senecio","squalidus"
"fargo","Lycoris","squamigera"
"fargo","Grindelia","squarrosa"
"konza","Grindelia","squarrosa"
"fargo","Lappula","squarrosa"
"konza","Silene","stellata"
"fargo","Smilacina","stellata"
"fargo","Allium","stellatum"
"konza","Allium","stellatum"
"konza","Asclepias","stenophylla"
"fitter","Anisantha","sterilis"
"fitter","Potentilla","sterilis"
"concord","Cornus","stolonifera"
"konza","Ruellia","strepens"
"fargo","Oxalis","stricta"
"konza","Verbena","stricta"
"fargo","Chenopodium","strictum"
"konza","Erigeron","strigosus"
"concord","Sium","suave"
"fargo","Alisma","subcordatum"
"fitter","Juncus","subnodulosus"
"fargo","Phlox","subulata"
"konza","Linum","sulcatum"
"konza","Asclepias","sullivantii"
"fitter","Carex","sylvatica"
"fitter","Fagus","sylvatica"
"fitter","Myosotis","sylvatica"
"fitter","Stachys","sylvatica"
"fitter","Brachypodium","sylvaticum"
"fitter","Anthriscus","sylvestris"
"fargo","Malus","sylvestris"
"concord","Malva","sylvestris"
"fitter","Malva","sylvestris"
"concord","Asclepias","syriaca"
"fargo","Asclepias","syriaca"
"konza","Asclepias","syriaca"
"fargo","Beckmannia","syzigachne"
"fargo","Schoenoplectus","tabernaemontani"
"fargo","Lonicera","tatarica"
"fitter","Equisetum","telmateia"
"fitter","Chaerophyllum","temulentum"
"concord","Polygonum","tenue"
"konza","Psoralidium","tenuiflorum"
"concord","Lechea","tenuifolia"
"concord","Lysimachia","terrestris"
"konza","Tribulus","terrestris"
"concord","Goodyera","tesselata"
"concord","Galeopsis","tetrahit"
"fitter","Galeopsis","tetrahit"
"fitter","Hypericum","tetrapterum"
"fargo","Allium","textile"
"fitter","Arabidopsis","thaliana"
"concord","Anemonella","thalictroides"
"concord","Caulophyllum","thalictroides"
"fargo","Caulophyllum","thalictroides"
"concord","Verbascum","thapsus"
"fitter","Verbascum","thapsus"
"konza","Verbascum","thapsus"
"fargo","Berberis","thunbergii"
"fargo","Spiraea","thunbergii"
"concord","Lysimachia","thyrsiflora"
"concord","Lilium","tigrinum"
"concord","Baptisia","tinctoria"
"concord","Genista","tinctoria"
"fargo","Prunus","tomentosa"
"fitter","Rosa","tomentosa"
"concord","Spiraea","tomentosa"
"fitter","Cerastium","tomentosum"
"fitter","Campanula","trachelium"
"fargo","Agropyron","trachycaulus"
"fitter","Populus","tremula"
"fargo","Populus","tremuloides"
"fargo","Gleditsia","triacanthos"
"fitter","Salix","triandra"
"concord","Ranunculus","trichophyllus"
"fargo","Allium","tricoccum"
"fitter","Saxifraga","tridactylites"
"fargo","Ambrosia","trifida"
"concord","Galium","trifidum"
"concord","Galium","triflorum"
"fargo","Galium","triflorum"
"concord","Coptis","trifolia"
"concord","Menyanthes","trifoliata"
"fargo","Prunus","triloba"
"fitter","Moehringia","trinervia"
"concord","Alisma","triviale"
"fitter","Poa","trivialis"
"konza","Asclepias","tuberosa"
"konza","Helianthus","tuberosus"
"concord","Rhus","typhina"
"fargo","Chrysanthemum","uliginosum"
"fitter","Galium","uliginosum"
"concord","Gnaphalium","uliginosum"
"fitter","Filipendula","ulmaria"
"concord","Chimaphila","umbellata"
"concord","Comandra","umbellata"
"konza","Comandra","umbellata"
"concord","Ornithogalum","umbellatum"
"concord","Aster","umbellatus"
"fargo","Cirsium","undulatum"
"konza","Cirsium","undulatum"
"concord","Trillium","undulatum"
"concord","Aster","undulatus"
"fitter","Melica","uniflora"
"concord","Moneses","uniflora"
"concord","Monotropa","uniflora"
"concord","Orobanche","uniflora"
"fitter","Symphytum","uplandicum"
"fitter","Geum","urbanum"
"concord","Verbena","urticifolia"
"fitter","Ribes","uva-crispa"
"concord","Arctostaphylos","uva-ursi"
"concord","Vaccinium","vacillans"
"concord","Coronilla","varia"
"concord","Nuphar","variegata"
"concord","Hieracium","venosum"
"fargo","Lathyrus","venosus"
"fargo","Thalictrum","venulosum"
"fitter","Primula","veris"
"concord","Draba","verna"
"concord","Myosotis","verna"
"fitter","Odontites","verna"
"fitter","Scrophularia","vernalis"
"konza","Spiranthes","vernalis"
"concord","Toxicodendron","vernix"
"fargo","Crocus","vernus"
"concord","Iris","versicolor"
"konza","Asclepias","verticillata"
"concord","Ilex","verticillata"
"concord","Mollugo","verticillata"
"concord","Polygala","verticillata"
"concord","Decodon","verticillatus"
"konza","Hybanthus","verticillatus"
"fitter","Crepis","vesicaria"
"fitter","Onobrychis","viciifolia"
"fargo","Chrysopsis","villosa"
"concord","Lechea","villosa"
"fargo","Syringa","villosa"
"fitter","Salix","viminalis"
"concord","Aster","vimineus"
"concord","Oxalis","violacea"
"fargo","Oxalis","violacea"
"konza","Oxalis","violacea"
"konza","Panicum","virgatum"
"concord","Anemone","virginiana"
"concord","Clematis","virginiana"
"fargo","Clematis","virginiana"
"concord","Fragaria","virginiana"
"fargo","Fragaria","virginiana"
"concord","Hamamelis","virginiana"
"fargo","Juniperus","virginiana"
"konza","Juniperus","virginiana"
"concord","Medeola","virginiana"
"fargo","Ostrya","virginiana"
"konza","Physalis","virginiana"
"concord","Prunus","virginiana"
"fargo","Prunus","virginiana"
"concord","Tephrosia","virginiana"
"concord","Tradescantia","virginiana"
"fargo","Hydrophyllum","virginianum"
"concord","Pycnanthemum","virginianum"
"concord","Bartonia","virginica"
"concord","Claytonia","virginica"
"concord","Krigia","virginica"
"concord","Lespedeza","virginica"
"fargo","Mertensia","virginica"
"concord","Rhexia","virginica"
"concord","Hypericum","virginicum"
"concord","Lepidium","virginicum"
"concord","Lycopus","virginicus"
"concord","Saxifraga","virginiensis"
"fitter","Coeloglossum","viride"
"concord","Veratrum","viride"
"konza","Asclepias","viridiflora"
"konza","Asclepias","viridis"
"fitter","Helleborus","viridis"
"fargo","Stipa","viridula"
"concord","Rhododendron","viscosum"
"fargo","Parthenocissus","vitacea"
"fitter","Clematis","vitalba"
"fargo","Salix","vitellina"
"concord","Cirsium","vulgare"
"fitter","Cirsium","vulgare"
"fitter","Clinopodium","vulgare"
"fitter","Hordeum","vulgare"
"fitter","Leucanthemum","vulgare"
"fitter","Ligustrum","vulgare"
"fitter","Origanum","vulgare"
"concord","Tanacetum","vulgare"
"fitter","Tanacetum","vulgare"
"concord","Aquilegia","vulgaris"
"fitter","Artemisia","vulgaris"
"concord","Barbarea","vulgaris"
"fitter","Barbarea","vulgaris"
"concord","Berberis","vulgaris"
"fitter","Calluna","vulgaris"
"fitter","Carlina","vulgaris"
"fitter","Filipendula","vulgaris"
"concord","Linaria","vulgaris"
"fitter","Linaria","vulgaris"
"fitter","Polygala","vulgaris"
"fitter","Primula","vulgaris"
"concord","Prunella","vulgaris"
"fitter","Prunella","vulgaris"
"konza","Prunella","vulgaris"
"concord","Senecio","vulgaris"
"fitter","Silene","vulgaris"
"fargo","Syringa","vulgaris"
"fitter","Tilia","vulgaris"
"concord","Utricularia","vulgaris"
"concord","Cerastium","vulgatum"
"fargo","Iva","xanthifolia"
